instance,optimal_fvs,directed_BST_exact_fvs,directed_BST_exact_score,directed_IC_exact_fvs,directed_IC_exact_score,directed_MA_exact_fvs,directed_MA_exact_score,directed_brute_force_fvs,directed_brute_force_score,directed_fvs_check_fvs,directed_fvs_check_score
dag_000000.txt,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,N/A,N/A
dgrid_000000.txt,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,N/A,N/A
ego_000000.txt,6.0,6.0,100.0,6.0,100.0,6.0,100.0,6.0,100.0,N/A,N/A
er_000000.txt,2.0,2.0,100.0,2.0,100.0,2.0,100.0,2.0,100.0,N/A,N/A
scale_free_000000.txt,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,N/A,N/A
dag_000001.txt,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,N/A,N/A
dgrid_000001.txt,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,N/A,N/A
ego_000001.txt,6.0,6.0,100.0,6.0,100.0,6.0,100.0,6.0,100.0,N/A,N/A
er_000001.txt,7.0,7.0,100.0,7.0,100.0,7.0,100.0,7.0,100.0,N/A,N/A
scale_free_000001.txt,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,N/A,N/A
dag_000002.txt,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,N/A,N/A
dgrid_000002.txt,2.0,2.0,100.0,2.0,100.0,2.0,100.0,2.0,100.0,N/A,N/A
ego_000002.txt,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,N/A,N/A
er_000002.txt,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,N/A,N/A
scale_free_000002.txt,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,N/A,N/A
dag_000003.txt,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,N/A,N/A
dgrid_000003.txt,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,N/A,N/A
