instance,nodes_n,edges_m,runtime_seconds,fvs_size,exit_code,status,details_file
h_001,1024,2103,6.226,48,0,ok,outputs/h_001.txt
h_002,1024,3473,66.499,37,0,ok,outputs/h_002.txt
h_003,1024,3480,6.474,39,0,ok,outputs/h_003.txt
h_004,1024,3624,6.837,56,0,ok,outputs/h_004.txt
h_005,843,3995,7.497,237,0,ok,outputs/h_005.txt
h_006,2048,4096,6.256,89,0,ok,outputs/h_006.txt
h_007,2048,4096,6.243,82,0,ok,outputs/h_007.txt
h_008,1024,5222,62.049,30,0,ok,outputs/h_008.txt
h_009,1024,5231,7.380,33,0,ok,outputs/h_009.txt
h_010,1024,5471,5.970,67,0,ok,outputs/h_010.txt
h_011,1024,5480,6.888,75,0,ok,outputs/h_011.txt
h_012,1024,5487,6.937,75,0,ok,outputs/h_012.txt
h_013,2048,5216,6.360,177,0,ok,outputs/h_013.txt
h_014,2048,5219,6.112,178,0,ok,outputs/h_014.txt
h_015,2048,7005,6.562,72,0,ok,outputs/h_015.txt
h_016,2048,7307,6.405,98,0,ok,outputs/h_016.txt
h_017,1024,9737,6.541,188,0,ok,outputs/h_017.txt
h_018,1974,9003,6.262,505,0,ok,outputs/h_018.txt
h_019,1024,10284,6.070,124,0,ok,outputs/h_019.txt
h_020,1024,10743,6.681,207,0,ok,outputs/h_020.txt
h_021,2048,10573,5.106,62,0,ok,outputs/h_021.txt
h_022,2048,10584,6.212,58,0,ok,outputs/h_022.txt
h_023,2048,11098,6.625,129,0,ok,outputs/h_023.txt
h_024,2650,12400,5.394,723,0,ok,outputs/h_024.txt
h_025,1024,15102,61.377,191,0,ok,outputs/h_025.txt
h_026,2048,14725,6.986,123,0,ok,outputs/h_026.txt
h_027,2048,14738,6.896,128,0,ok,outputs/h_027.txt
h_028,3588,16698,6.210,960,0,ok,outputs/h_028.txt
h_029,1024,19861,6.097,264,0,ok,outputs/h_029.txt
h_030,2048,18851,5.220,189,0,ok,outputs/h_030.txt
h_031,2048,18876,5.203,190,0,ok,outputs/h_031.txt
h_032,2048,20942,5.410,222,0,ok,outputs/h_032.txt
h_033,6301,20777,5.853,202,0,ok,outputs/h_033.txt
h_034,4983,22602,6.483,1251,0,ok,outputs/h_034.txt
h_035,8192,30498,0.162,3933,0,ok,outputs/h_035.txt
h_036,8192,30671,0.160,3894,0,ok,outputs/h_036.txt
h_037,8192,30814,0.183,3922,0,ok,outputs/h_037.txt
h_038,10876,39994,6.024,578,0,ok,outputs/h_038.txt
h_039,9473,43691,7.054,2452,0,ok,outputs/h_039.txt
h_040,8192,45091,0.326,3950,0,ok,outputs/h_040.txt
h_041,8192,45139,6.164,4019,0,ok,outputs/h_041.txt
h_042,8192,45262,6.170,4006,0,ok,outputs/h_042.txt
h_043,8192,50901,0.235,3914,0,ok,outputs/h_043.txt
h_044,8192,51806,0.165,4089,0,ok,outputs/h_044.txt
h_045,8192,54189,5.838,3943,0,ok,outputs/h_045.txt
h_046,8192,54350,6.263,3924,0,ok,outputs/h_046.txt
h_047,8192,54807,5.511,3896,0,ok,outputs/h_047.txt
h_048,8192,54891,5.391,3949,0,ok,outputs/h_048.txt
h_049,8192,57468,5.471,3889,0,ok,outputs/h_049.txt
h_050,22687,54705,6.241,633,0,ok,outputs/h_050.txt
h_051,8192,71995,5.046,4002,0,ok,outputs/h_051.txt
h_052,8192,72700,5.056,3998,0,ok,outputs/h_052.txt
h_053,8192,73399,5.037,4017,0,ok,outputs/h_053.txt
h_054,14882,67834,6.340,3713,0,ok,outputs/h_054.txt
h_055,15268,74339,6.527,4521,0,ok,outputs/h_055.txt
h_056,8192,82550,5.669,3875,0,ok,outputs/h_056.txt
h_057,8192,83083,6.429,3885,0,ok,outputs/h_057.txt
h_058,8192,92304,6.272,5122,0,ok,outputs/h_058.txt
h_059,7115,103689,6.056,502,0,ok,outputs/h_059.txt
h_060,8192,110532,5.032,3808,0,ok,outputs/h_060.txt
h_061,8192,112798,5.036,3746,0,ok,outputs/h_061.txt
h_062,16384,104900,5.031,8886,0,ok,outputs/h_062.txt
h_063,36682,88328,61.301,911,0,ok,outputs/h_063.txt
h_064,23131,107151,7.057,6027,0,ok,outputs/h_064.txt
h_065,26475,106762,0.178,3683,0,ok,outputs/h_065.txt
h_066,16384,119886,5.032,10073,0,ok,outputs/h_066.txt
h_067,8192,138733,61.358,5422,0,ok,outputs/h_067.txt
h_068,25678,121390,7.060,7059,0,ok,outputs/h_068.txt
h_069,8192,156904,13.230,6455,0,ok,outputs/h_069.txt
h_070,8192,168293,61.343,5398,0,ok,outputs/h_070.txt
h_071,8192,168714,6.451,6281,0,ok,outputs/h_071.txt
h_072,32078,149020,61.204,8382,0,ok,outputs/h_072.txt
h_073,16384,166938,10.141,9649,0,ok,outputs/h_073.txt
h_074,16384,169955,5.043,9439,0,ok,outputs/h_074.txt
h_075,34978,169522,61.258,10151,0,ok,outputs/h_075.txt
h_076,36705,170621,61.262,9634,0,ok,outputs/h_076.txt
h_077,62586,147892,61.268,1253,0,ok,outputs/h_077.txt
h_078,8192,204075,5.326,6641,0,ok,outputs/h_078.txt
h_079,16384,216334,9.839,11553,0,ok,outputs/h_079.txt
h_080,24818,227991,0.221,2755,0,ok,outputs/h_080.txt
h_081,32768,224254,61.538,21880,0,ok,outputs/h_081.txt
h_082,48665,222764,7.313,12280,0,ok,outputs/h_082.txt
h_083,32768,256256,63.127,20628,0,ok,outputs/h_083.txt
h_084,16384,273584,5.110,9456,0,ok,outputs/h_084.txt
h_085,16384,283794,63.029,12829,0,ok,outputs/h_085.txt
h_086,8192,295951,10.819,7003,0,ok,outputs/h_086.txt
h_087,58960,269439,6.420,14818,0,ok,outputs/h_087.txt
h_088,60892,286474,63.065,16423,0,ok,outputs/h_088.txt
h_089,8192,358201,63.027,7249,0,ok,outputs/h_089.txt
h_090,16384,353824,63.049,12235,0,ok,outputs/h_090.txt
h_091,16384,354031,63.143,12177,0,ok,outputs/h_091.txt
h_092,63674,306833,63.056,18186,0,ok,outputs/h_092.txt
h_093,32768,363878,64.389,22031,0,ok,outputs/h_093.txt
h_094,68946,335845,63.241,20251,0,ok,outputs/h_094.txt
h_095,32768,409363,33.343,23916,0,ok,outputs/h_095.txt
h_096,34546,421534,0.392,499,0,ok,outputs/h_096.txt
h_097,16384,458925,6.006,13087,0,ok,outputs/h_097.txt
h_098,32768,503494,24.115,24080,0,ok,outputs/h_098.txt
h_099,97898,447979,5.518,25063,0,ok,outputs/h_099.txt
h_100,75879,508837,63.339,11790,0,ok,outputs/h_100.txt
h_101,65536,618237,63.224,46505,0,ok,outputs/h_101.txt
h_102,265214,418956,1.177,842,0,ok,outputs/h_102.txt
h_103,159316,544621,1.103,13303,0,ok,outputs/h_103.txt
h_104,65536,640429,39.469,45238,0,ok,outputs/h_104.txt
h_105,65536,652583,37.582,48936,0,ok,outputs/h_105.txt
h_106,65536,654158,36.869,48881,0,ok,outputs/h_106.txt
h_107,32768,699385,13.843,24928,0,ok,outputs/h_107.txt
h_108,65536,688044,85.185,52236,0,ok,outputs/h_108.txt
h_109,8192,839576,61.269,7641,0,ok,outputs/h_109.txt
h_110,32768,826394,16.486,26776,0,ok,outputs/h_110.txt
h_111,77360,828161,0.726,22658,0,ok,outputs/h_111.txt
h_112,8192,944523,63.326,7774,0,ok,outputs/h_112.txt
h_113,194085,854377,1.576,18574,0,ok,outputs/h_113.txt
h_114,187341,865700,6.624,48948,0,ok,outputs/h_114.txt
h_115,262111,1234877,6.887,130675,0,ok,outputs/h_115.txt
h_116,299580,1363755,14.378,75173,0,ok,outputs/h_116.txt
h_117,325729,1469679,33.889,41175,0,ok,outputs/h_117.txt
h_118,81306,1768135,33.447,34255,0,ok,outputs/h_118.txt
h_119,342573,1619304,14.39,94560,0,ok,outputs/h_119.txt
h_120,32768,2049515,15.185,29869,0,ok,outputs/h_120.txt
h_121,16384,2076651,43.89,15706,0,ok,outputs/h_121.txt
h_122,2048,2097152,70.213,2033,0,ok,outputs/h_122.txt
h_123,4096,2097152,62.208,4008,0,ok,outputs/h_123.txt
h_124,8192,2097152,62.274,7877,0,ok,outputs/h_124.txt
h_125,16384,2097152,64.899,15167,0,ok,outputs/h_125.txt
h_126,65536,2048311,34.643,57875,0,ok,outputs/h_126.txt
h_127,32768,2128971,25.742,30965,0,ok,outputs/h_127.txt
h_128,32768,2130600,24.916,30956,0,ok,outputs/h_128.txt
h_129,32768,2148521,52.435,28684,0,ok,outputs/h_129.txt
h_130,16384,2192284,63.496,15757,0,ok,outputs/h_130.txt
h_131,16384,2194576,51.633,15780,0,ok,outputs/h_131.txt
h_132,65536,2184865,30.087,58081,0,ok,outputs/h_132.txt
h_133,131072,2130456,46.005,102689,0,ok,outputs/h_133.txt
h_134,131072,2131741,47.171,102609,0,ok,outputs/h_134.txt
h_135,32768,2235835,19.012,30271,0,ok,outputs/h_135.txt
h_136,32768,2240608,19.02,30271,0,ok,outputs/h_136.txt
h_137,32768,2241646,63.8,28256,0,ok,outputs/h_137.txt
h_138,32768,2270902,33.367,31037,0,ok,outputs/h_138.txt
h_139,16384,2293868,143.883,15871,0,ok,outputs/h_139.txt
h_140,131072,2199584,61.326,86175,0,ok,outputs/h_140.txt
h_141,65536,2321780,49.827,58171,0,ok,outputs/h_141.txt
h_142,131072,2294338,44.332,104652,0,ok,outputs/h_142.txt
h_143,32768,2412833,63.802,30410,0,ok,outputs/h_143.txt
h_144,32768,2416672,27.628,30983,0,ok,outputs/h_144.txt
h_145,32768,2416820,31.354,30968,0,ok,outputs/h_145.txt
h_146,131072,2322563,11.829,91672,0,ok,outputs/h_146.txt
h_147,32768,2422154,18.225,30604,0,ok,outputs/h_147.txt
h_148,432535,2038645,8.187,118710,0,ok,outputs/h_148.txt
h_149,131072,2340382,12.675,91738,0,ok,outputs/h_149.txt
h_150,65536,2456589,54.607,58561,0,ok,outputs/h_150.txt
h_151,65536,2457973,51.819,58547,0,ok,outputs/h_151.txt
h_152,65536,2458355,53.519,58545,0,ok,outputs/h_152.txt
h_153,32768,2554765,30.939,30869,0,ok,outputs/h_153.txt
h_154,32768,2556720,34.728,30891,0,ok,outputs/h_154.txt
h_155,131072,2459701,45.737,105817,0,ok,outputs/h_155.txt
h_156,32768,2558829,31.191,30871,0,ok,outputs/h_156.txt
h_157,281903,2312497,56.133,92492,0,ok,outputs/h_157.txt
h_158,32768,2614043,19.476,30872,0,ok,outputs/h_158.txt
h_159,32768,2621362,19.165,30869,0,ok,outputs/h_159.txt
h_160,65536,2593066,50.837,59317,0,ok,outputs/h_160.txt
h_161,32768,2684883,38.795,29427,0,ok,outputs/h_161.txt
h_162,131072,2587747,4.001,106450,0,ok,outputs/h_162.txt
h_163,32768,2696696,54.122,30989,0,ok,outputs/h_163.txt
h_164,131072,2620644,185.87,98194,0,ok,outputs/h_164.txt
h_165,131072,2622100,58.416,107084,0,ok,outputs/h_165.txt
h_166,65536,2728370,144.821,61308,0,ok,outputs/h_166.txt
h_167,65536,2731506,138.849,61297,0,ok,outputs/h_167.txt
h_168,32768,2794794,22.699,31043,0,ok,outputs/h_168.txt
h_169,32768,2808603,27.388,31029,0,ok,outputs/h_169.txt
h_170,32768,2838628,139.066,31694,0,ok,outputs/h_170.txt
h_171,131072,2741624,61.377,90647,0,ok,outputs/h_171.txt
h_172,32768,2840800,153.792,31704,0,ok,outputs/h_172.txt
h_173,32768,2843144,145.924,31700,0,ok,outputs/h_173.txt
h_174,131072,2754294,65.146,91100,0,ok,outputs/h_174.txt
h_175,131072,2757784,206.686,101876,0,ok,outputs/h_175.txt
h_176,131072,2777076,170.516,101564,0,ok,outputs/h_176.txt
h_177,131072,2784435,192.763,101383,0,ok,outputs/h_177.txt
h_178,131072,2785982,58.491,108454,0,ok,outputs/h_178.txt
h_179,131072,2921009,34.935,95732,0,ok,outputs/h_179.txt
h_180,131072,2949960,58.58,110280,0,ok,outputs/h_180.txt
h_181,131072,2950732,58.03,110298,0,ok,outputs/h_181.txt
h_182,131072,2951641,57.761,110335,0,ok,outputs/h_182.txt
h_183,131072,3115621,62.256,112836,0,ok,outputs/h_183.txt
h_184,32768,3221596,67.787,29878,0,ok,outputs/h_184.txt
h_185,32768,3222505,52.975,29904,0,ok,outputs/h_185.txt
h_186,566326,2770690,10.526,169581,0,ok,outputs/h_186.txt
h_187,131072,3225441,5.398,110074,0,ok,outputs/h_187.txt
h_188,262144,3100200,145.067,213534,0,ok,outputs/h_188.txt
h_189,262144,3100310,143.019,213511,0,ok,outputs/h_189.txt
h_190,131072,3244452,4.655,116134,0,ok,outputs/h_190.txt
h_191,131072,3275806,4.727,116156,0,ok,outputs/h_191.txt
h_192,32768,3726392,162.288,31461,0,ok,outputs/h_192.txt
h_193,32768,3734348,161.878,31452,0,ok,outputs/h_193.txt
h_194,4096,4194304,604.649,4051,0,ok,outputs/h_194.txt
h_195,4096,4194304,607.554,4050,0,ok,outputs/h_195.txt
h_196,8192,4194304,77.034,8028,0,ok,outputs/h_196.txt
h_197,8192,4194304,606.659,7998,0,ok,outputs/h_197.txt
h_198,962897,4419758,30.029,248127,0,ok,outputs/h_198.txt
h_199,875713,5105039,61.545,178686,0,ok,outputs/h_199.txt
h_200,2394385,5021410,63.313,18269,0,ok,outputs/h_200.txt
