instance,optimal_fvs,directed_DKMA_heuristic_15_fvs,directed_DKMA_heuristic_15_score,directed_DKMA_heuristic_30_fvs,directed_DKMA_heuristic_30_score,directed_GNN-KMA-2_heuristic_30_fvs,directed_GNN-KMA-2_heuristic_30_score,directed_GNN-KMA-3_0.50_heuristic_30_fvs,directed_GNN-KMA-3_0.50_heuristic_30_score,directed_GNN-KMA-3_0.65_heuristic_30_fvs,directed_GNN-KMA-3_0.65_heuristic_30_score,directed_GNN-KMA-3_0.70_heuristic_30_fvs,directed_GNN-KMA-3_0.70_heuristic_30_score,directed_GNN-KMA-3_0.80_heuristic_30_fvs,directed_GNN-KMA-3_0.80_heuristic_30_score,directed_GNN-KMA-3_0.85_heuristic_30_fvs,directed_GNN-KMA-3_0.85_heuristic_30_score,directed_GNN-KMA-3_0.90_heuristic_30_fvs,directed_GNN-KMA-3_0.90_heuristic_30_score,directed_GNN-KMA-3_0.95_heuristic_30_fvs,directed_GNN-KMA-3_0.95_heuristic_30_score,directed_GNN-KMA-3_small_0.9_heuristic_30_fvs,directed_GNN-KMA-3_small_0.9_heuristic_30_score,directed_GNN-KMA_heuristic_30_fvs,directed_GNN-KMA_heuristic_30_score,directed_KMA_heuristic_15_fvs,directed_KMA_heuristic_15_score,directed_KMA_heuristic_30_fvs,directed_KMA_heuristic_30_score,directed_KMA_heuristic_60_fvs,directed_KMA_heuristic_60_score,directed_KMA_heuristic_90_fvs,directed_KMA_heuristic_90_score,directed_MA_heuristic_30_fvs,directed_MA_heuristic_30_score,directed_MA_heuristic_60_fvs,directed_MA_heuristic_60_score,directed_MA_heuristic_90_fvs,directed_MA_heuristic_90_score,pace2022_winner_fvs,pace2022_winner_score
h_001,48.0,52.0,92.3077,52.0,92.3077,52.0,92.3077,58.0,82.7586,56.0,85.7143,56.0,85.7143,54.0,88.8889,57.0,84.2105,54.0,88.8889,52.0,92.3077,54.0,88.8889,52.0,92.3077,52.0,92.3077,52.0,92.3077,52.0,92.3077,52.0,92.3077,52.0,92.3077,52.0,92.3077,52.0,92.3077,48.0,100.0
h_002,37.0,38.0,97.3684,38.0,97.3684,40.0,92.5,42.0,88.0952,42.0,88.0952,42.0,88.0952,43.0,86.0465,41.0,90.2439,38.0,97.3684,40.0,92.5,38.0,97.3684,40.0,92.5,40.0,92.5,40.0,92.5,40.0,92.5,40.0,92.5,51.0,72.549,39.0,94.8718,39.0,94.8718,37.0,100.0
h_003,39.0,39.0,100.0,39.0,100.0,39.0,100.0,44.0,88.6364,43.0,90.6977,42.0,92.8571,46.0,84.7826,41.0,95.122,39.0,100.0,39.0,100.0,39.0,100.0,39.0,100.0,39.0,100.0,39.0,100.0,39.0,100.0,39.0,100.0,47.0,82.9787,40.0,97.5,40.0,97.5,39.0,100.0
h_004,56.0,60.0,93.3333,60.0,93.3333,60.0,93.3333,63.0,88.8889,63.0,88.8889,64.0,87.5,63.0,88.8889,62.0,90.3226,60.0,93.3333,60.0,93.3333,60.0,93.3333,60.0,93.3333,60.0,93.3333,60.0,93.3333,60.0,93.3333,60.0,93.3333,82.0,68.2927,63.0,88.8889,63.0,88.8889,56.0,100.0
h_005,237.0,297.0,79.798,297.0,79.798,297.0,79.798,287.0,82.5784,285.0,83.1579,283.0,83.7456,289.0,82.0069,285.0,83.1579,294.0,80.6122,297.0,79.798,297.0,79.798,297.0,79.798,297.0,79.798,297.0,79.798,294.0,80.6122,288.0,82.2917,302.0,78.4768,297.0,79.798,297.0,79.798,237.0,100.0
h_006,89.0,93.0,95.6989,93.0,95.6989,93.0,95.6989,102.0,87.2549,105.0,84.7619,101.0,88.1188,102.0,87.2549,105.0,84.7619,93.0,95.6989,93.0,95.6989,93.0,95.6989,93.0,95.6989,93.0,95.6989,93.0,95.6989,93.0,95.6989,93.0,95.6989,141.0,63.1206,116.0,76.7241,116.0,76.7241,89.0,100.0
h_007,82.0,94.0,87.234,94.0,87.234,94.0,87.234,95.0,86.3158,96.0,85.4167,97.0,84.5361,96.0,85.4167,95.0,86.3158,94.0,87.234,94.0,87.234,94.0,87.234,94.0,87.234,94.0,87.234,94.0,87.234,94.0,87.234,94.0,87.234,111.0,73.8739,111.0,73.8739,106.0,77.3585,82.0,100.0
h_008,30.0,31.0,96.7742,31.0,96.7742,31.0,96.7742,36.0,83.3333,37.0,81.0811,35.0,85.7143,37.0,81.0811,33.0,90.9091,31.0,96.7742,31.0,96.7742,31.0,96.7742,31.0,96.7742,31.0,96.7742,31.0,96.7742,31.0,96.7742,31.0,96.7742,40.0,75.0,31.0,96.7742,31.0,96.7742,30.0,100.0
h_009,33.0,37.0,89.1892,37.0,89.1892,37.0,89.1892,43.0,76.7442,43.0,76.7442,43.0,76.7442,41.0,80.4878,35.0,94.2857,37.0,89.1892,37.0,89.1892,34.0,97.0588,37.0,89.1892,37.0,89.1892,37.0,89.1892,37.0,89.1892,37.0,89.1892,40.0,82.5,36.0,91.6667,36.0,91.6667,33.0,100.0
h_010,67.0,97.0,69.0722,73.0,91.7808,73.0,91.7808,76.0,88.1579,80.0,83.75,82.0,81.7073,75.0,89.3333,76.0,88.1579,73.0,91.7808,73.0,91.7808,74.0,90.5405,73.0,91.7808,82.0,81.7073,73.0,91.7808,73.0,91.7808,73.0,91.7808,99.0,67.6768,81.0,82.716,73.0,91.7808,67.0,100.0
h_011,75.0,103.0,72.8155,86.0,87.2093,82.0,91.4634,86.0,87.2093,86.0,87.2093,87.0,86.2069,87.0,86.2069,85.0,88.2353,81.0,92.5926,81.0,92.5926,86.0,87.2093,82.0,91.4634,87.0,86.2069,86.0,87.2093,81.0,92.5926,81.0,92.5926,100.0,75.0,89.0,84.2697,89.0,84.2697,75.0,100.0
h_012,75.0,98.0,76.5306,89.0,84.2697,81.0,92.5926,88.0,85.2273,86.0,87.2093,85.0,88.2353,84.0,89.2857,79.0,94.9367,78.0,96.1538,79.0,94.9367,91.0,82.4176,81.0,92.5926,98.0,76.5306,89.0,84.2697,78.0,96.1538,78.0,96.1538,104.0,72.1154,86.0,87.2093,83.0,90.3614,75.0,100.0
h_013,177.0,252.0,70.2381,252.0,70.2381,252.0,70.2381,208.0,85.0962,210.0,84.2857,215.0,82.3256,212.0,83.4906,210.0,84.2857,221.0,80.0905,221.0,80.0905,252.0,70.2381,252.0,70.2381,252.0,70.2381,252.0,70.2381,221.0,80.0905,212.0,83.4906,277.0,63.8989,277.0,63.8989,277.0,63.8989,177.0,100.0
h_014,178.0,246.0,72.3577,246.0,72.3577,216.0,82.4074,203.0,87.6847,204.0,87.2549,199.0,89.4472,205.0,86.8293,200.0,89.0,211.0,84.3602,212.0,83.9623,246.0,72.3577,221.0,80.543,246.0,72.3577,246.0,72.3577,207.0,85.9903,202.0,88.1188,266.0,66.9173,266.0,66.9173,266.0,66.9173,178.0,100.0
