file,n,m,FVS_size,runtime,validity,kernelization_time,gnn_candidate_time,initial_kernel_size,final_kernel_size,n_dynamic_reductions,solution_size,time_seconds
h_001,1024,2103,52,12.579779,True,0.013129,0.0,1024,1024,0,52,12.579779
h_002,1024,3473,38,17.339823,True,0.014434,0.0,1024,1024,0,38,17.339823
h_003,1024,3480,39,16.579651,True,0.01293,0.0,1024,1024,0,39,16.579651
h_004,1024,3624,60,29.591263,True,0.013594,0.0,1024,1024,0,60,29.591263
h_005,843,3995,297,30.456854,True,0.016012,0.0,843,843,0,297,30.456854
h_006,2048,4096,93,29.540526,True,0.018916,0.0,2048,2048,0,93,29.540526
h_007,2048,4096,94,29.762954,True,0.018394,0.0,2048,2048,0,94,29.762954
h_008,1024,5222,31,27.585802,True,0.015245,0.0,1024,1024,0,31,27.585802
h_009,1024,5231,37,26.270427,True,0.020019,0.0,1024,1024,0,37,26.270427
h_010,1024,5471,73,30.168054,True,0.020605,0.0,1024,1024,0,73,30.168054
h_011,1024,5480,86,30.182802,True,0.019702,0.0,1024,1024,0,86,30.182802
h_012,1024,5487,89,30.20472,True,0.018661,0.0,1024,1024,0,89,30.20472
h_013,2048,5216,252,30.622604,True,0.024843,0.0,2048,2048,0,252,30.622604
h_014,2048,5219,246,30.628596,True,0.024395,0.0,2048,2048,0,246,30.628596
h_015,2048,7005,78,30.257463,True,0.025534,0.0,2048,2048,0,78,30.257463
h_016,2048,7307,136,30.439986,True,0.03251,0.0,2048,2048,0,136,30.439986
h_017,1024,9737,257,30.735964,True,0.040181,0.0,1024,1024,0,257,30.735964
h_018,1974,9003,687,32.074899,True,0.04487,0.0,1974,1974,0,687,32.074899
h_019,1024,10284,178,30.621447,True,0.039712,0.0,1024,1024,0,178,30.621447
h_020,1024,10743,289,30.916293,True,0.055432,0.0,1024,1024,0,289,30.916293
h_021,2048,10573,89,30.391572,True,0.037364,0.0,2048,2048,0,89,30.391572
h_022,2048,10584,78,30.399004,True,0.058744,0.0,2048,2048,0,78,30.399004
h_023,2048,11098,214,30.890257,True,0.05287,0.0,2048,2048,0,214,30.890257
h_024,2650,12400,938,32.10023,True,0.061614,0.0,2650,2650,0,938,32.10023
h_025,1024,15102,276,31.271517,True,0.066325,0.0,1024,1024,0,276,31.271517
h_026,2048,14725,185,31.106578,True,0.064128,0.0,2048,2048,0,185,31.106578
h_027,2048,14738,211,31.091049,True,0.067082,0.0,2048,2048,0,211,31.091049
h_028,3588,16698,1315,32.174283,True,0.132656,0.0,3588,3588,0,1315,32.174283
h_029,1024,19861,383,31.988717,True,0.099735,0.0,1024,1024,0,383,31.988717
h_030,2048,18851,280,31.715655,True,0.099547,0.0,2048,2048,0,280,31.715655
h_031,2048,18876,352,32.132573,True,0.082363,0.0,2048,2048,0,352,32.132573
h_032,2048,20942,389,32.160447,True,0.097151,0.0,2048,2048,0,389,32.160447
h_033,6301,20777,261,32.127904,True,0.084098,0.0,6301,6301,0,261,32.127904
h_034,4983,22602,2208,32.227842,True,0.160451,0.0,4983,4983,0,2208,32.227842
h_035,8192,30498,4289,32.233367,True,0.166863,0.0,8192,8192,0,4289,32.233367
h_036,8192,30671,4262,32.175798,True,0.131246,0.0,8192,8192,0,4262,32.175798
h_037,8192,30814,4349,32.249185,True,0.177465,0.0,8192,8192,0,4349,32.249185
h_038,10876,39994,808,32.226341,True,0.15532,0.0,10876,10876,0,808,32.226341
h_039,9473,43691,7271,32.390767,True,0.257808,0.0,9473,9473,0,7271,32.390767
h_040,8192,45091,5231,32.284229,True,0.207502,0.0,8192,8192,0,5231,32.284229
h_041,8192,45139,5316,32.275663,True,0.182518,0.0,8192,8192,0,5316,32.275663
h_042,8192,45262,5360,32.303821,True,0.214092,0.0,8192,8192,0,5360,32.303821
h_043,8192,50901,5199,32.330825,True,0.232412,0.0,8192,8192,0,5199,32.330825
h_044,8192,51806,5084,32.341725,True,0.257992,0.0,8192,8192,0,5084,32.341725
h_045,8192,54189,5652,32.399912,True,0.288184,0.0,8192,8192,0,5652,32.399912
h_046,8192,54350,5526,32.425208,True,0.313892,0.0,8192,8192,0,5526,32.425208
h_047,8192,54807,5551,32.431965,True,0.329762,0.0,8192,8192,0,5551,32.431965
h_048,8192,54891,5637,32.417347,True,0.307036,0.0,8192,8192,0,5637,32.417347
h_049,8192,57468,5197,32.365633,True,0.276927,0.0,8192,8192,0,5197,32.365633
h_050,22687,54705,891,32.347345,True,0.238962,0.0,22687,22687,0,891,32.347345
h_051,8192,71995,5893,32.426562,True,0.297635,0.0,8192,8192,0,5893,32.426562
h_052,8192,72700,5936,32.481337,True,0.355788,0.0,8192,8192,0,5936,32.481337
h_053,8192,73399,6064,32.511514,True,0.349582,0.0,8192,8192,0,6064,32.511514
h_054,14882,67834,12468,32.72719,True,0.490566,0.0,14882,14882,0,12468,32.72719
h_055,15268,74339,14065,32.782736,True,0.498867,0.0,15268,15268,0,14065,32.782736
h_056,8192,82550,5622,32.460516,True,0.334524,0.0,8192,8192,0,5622,32.460516
h_057,8192,83083,5785,32.465651,True,0.333397,0.0,8192,8192,0,5785,32.465651
h_058,8192,92304,7143,32.687006,True,0.4811,0.0,8192,8192,0,7143,32.687006
h_059,7115,103689,620,32.39727,True,0.276855,0.0,7115,7115,0,620,32.39727
h_060,8192,110532,5957,32.700899,True,0.50479,0.0,8192,8192,0,5957,32.700899
h_061,8192,112798,6028,32.618771,True,0.434382,0.0,8192,8192,0,6028,32.618771
h_062,16384,104900,13696,32.767077,True,0.582908,0.0,16384,16384,0,13696,32.767077
