file,n,m,FVS_size,runtime,validity,kernelization_time,gnn_candidate_time,initial_kernel_size,final_kernel_size,n_dynamic_reductions,solution_size,time_seconds
h_001,1024,2103,52,26.282448,True,0.004483,18.769032,1024,1024,0,52,26.282448
h_002,1024,3473,40,5.743569,True,0.009662,0.094326,1024,1024,0,40,5.743569
h_003,1024,3480,39,6.122784,True,0.006534,0.084157,1024,1024,0,39,6.122784
h_004,1024,3624,60,13.023892,True,0.006737,0.139193,1024,1024,0,60,13.023892
h_005,843,3995,297,30.457354,True,0.011143,0.423282,843,843,0,297,30.457354
h_006,2048,4096,93,18.857389,True,0.012142,0.118843,2048,2048,0,93,18.857389
h_007,2048,4096,94,10.991635,True,0.014482,0.115055,2048,2048,0,94,10.991635
h_008,1024,5222,31,9.300799,True,0.009293,0.129915,1024,1024,0,31,9.300799
h_009,1024,5231,37,8.308877,True,0.008689,0.138714,1024,1024,0,37,8.308877
h_010,1024,5471,73,28.797579,True,0.010514,0.32695,1024,1024,0,73,28.797579
h_011,1024,5480,82,30.305937,True,0.010985,0.290826,1024,1024,0,82,30.305937
h_012,1024,5487,81,30.34876,True,0.009728,0.33482,1024,1024,0,81,30.34876
h_013,2048,5216,252,30.299333,True,0.015247,0.279753,2048,2048,0,252,30.299333
h_014,2048,5219,216,30.299045,True,0.017688,0.277026,2048,2048,0,216,30.299045
h_015,2048,7005,77,28.940494,True,0.01593,0.237026,2048,2048,0,77,28.940494
h_016,2048,7307,136,30.418401,True,0.014355,0.379151,2048,2048,0,136,30.418401
h_017,1024,9737,257,31.450758,True,0.018941,1.404206,1024,1024,0,257,31.450758
h_018,1974,9003,669,31.161814,True,0.022936,1.119338,1974,1974,0,669,31.161814
h_019,1024,10284,178,31.212684,True,0.019566,1.161269,1024,1024,0,178,31.212684
h_020,1024,10743,289,31.851263,True,0.022542,1.800619,1024,1024,0,289,31.851263
h_021,2048,10573,89,30.459757,True,0.018972,0.41238,2048,2048,0,89,30.459757
h_022,2048,10584,68,30.589037,True,0.018313,0.565149,2048,2048,0,68,30.589037
h_023,2048,11098,214,31.137506,True,0.027158,1.083379,2048,2048,0,214,31.137506
h_024,2650,12400,938,31.746427,True,0.034971,1.686478,2650,2650,0,938,31.746427
h_025,1024,15102,276,32.838268,True,0.025081,2.776386,1024,1024,0,276,32.838268
h_026,2048,14725,185,31.455172,True,0.030715,1.397417,2048,2048,0,185,31.455172
h_027,2048,14738,211,31.619038,True,0.028649,1.561941,2048,2048,0,211,31.619038
