file,n,m,FVS_size,runtime,validity,kernelization_time,gnn_candidate_time,initial_kernel_size,final_kernel_size,n_dynamic_reductions,solution_size,time_seconds
h_001,1024,2103,54,17.12702,True,0.0,0.0,1024,1024,0,54,17.12702
h_002,1024,3473,38,7.95072,True,0.0,0.0,1024,1024,0,38,7.95072
h_003,1024,3480,39,6.68343,True,0.0,0.0,1024,1024,0,39,6.68343
h_004,1024,3624,60,14.24001,True,0.0,0.0,1024,1024,0,60,14.24001
h_005,843,3995,294,35.00958,True,0.0,0.0,843,843,0,294,35.00958
h_006,2048,4096,93,17.39035,True,0.0,0.0,2048,2048,0,93,17.39035
h_007,2048,4096,94,11.95323,True,0.0,0.0,2048,2048,0,94,11.95323
h_008,1024,5222,31,8.72507,True,0.0,0.0,1024,1024,0,31,8.72507
h_009,1024,5231,37,10.99653,True,0.0,0.0,1024,1024,0,37,10.99653
h_010,1024,5471,73,24.5727,True,0.0,0.0,1024,1024,0,73,24.5727
h_011,1024,5480,81,28.96465,True,0.0,0.0,1024,1024,0,81,28.96465
h_012,1024,5487,78,34.74663,True,0.0,0.0,1024,1024,0,78,34.74663
h_013,2048,5216,221,34.60424,True,0.0,0.0,2048,2048,0,221,34.60424
h_014,2048,5219,211,35.22714,True,0.0,0.0,2048,2048,0,211,35.22714
h_015,2048,7005,77,25.95535,True,0.0,0.0,2048,2048,0,77,25.95535
h_016,2048,7307,112,35.27602,True,0.0,0.0,2048,2048,0,112,35.27602
h_017,1024,9737,257,35.51274,True,0.0,0.0,1024,1024,0,257,35.51274
h_018,1974,9003,650,36.73809,True,0.0,0.0,1974,1974,0,650,36.73809
h_019,1024,10284,178,35.30451,True,0.0,0.0,1024,1024,0,178,35.30451
h_020,1024,10743,289,35.99175,True,0.0,0.0,1024,1024,0,289,35.99175
h_021,2048,10573,71,35.42085,True,0.0,0.0,2048,2048,0,71,35.42085
h_022,2048,10584,61,35.40806,True,0.0,0.0,2048,2048,0,61,35.40806
h_023,2048,11098,214,36.12699,True,0.0,0.0,2048,2048,0,214,36.12699
h_024,2650,12400,937,39.81042,True,0.0,0.0,2650,2650,0,937,39.81042
h_025,1024,15102,276,35.87329,True,0.0,0.0,1024,1024,0,276,35.87329
h_026,2048,14725,185,36.10319,True,0.0,0.0,2048,2048,0,185,36.10319
h_027,2048,14738,211,36.05425,True,0.0,0.0,2048,2048,0,211,36.05425
h_028,3588,16698,1315,43.2993,True,0.0,0.0,3588,3588,0,1315,43.2993
h_029,1024,19861,369,36.46519,True,0.0,0.0,1024,1024,0,369,36.46519
h_030,2048,18851,280,36.95503,True,0.0,0.0,2048,2048,0,280,36.95503
h_031,2048,18876,344,37.02003,True,0.0,0.0,2048,2048,0,344,37.02003
h_032,2048,20942,382,37.04526,True,0.0,0.0,2048,2048,0,382,37.04526
h_033,6301,20777,261,36.31595,True,0.0,0.0,6301,6301,0,261,36.31595
h_034,4983,22602,1659,50.0723,True,0.0,0.0,4983,4983,0,1659,50.0723
h_035,8192,30498,4183,35.90507,True,0.0,0.0,8192,8192,0,4183,35.90507
h_036,8192,30671,4130,36.18159,True,0.0,0.0,8192,8192,0,4130,36.18159
h_037,8192,30814,4184,36.06593,True,0.0,0.0,8192,8192,0,4184,36.06593
h_038,10876,39994,808,44.70022,True,0.0,0.0,10876,10876,0,808,44.70022
h_039,9473,43691,6339,90.3759,True,0.0,0.0,9473,9473,0,6339,90.3759
h_040,8192,45091,4549,36.86587,True,0.0,0.0,8192,8192,0,4549,36.86587
h_041,8192,45139,4770,37.25792,True,0.0,0.0,8192,8192,0,4770,37.25792
h_042,8192,45262,4713,37.77103,True,0.0,0.0,8192,8192,0,4713,37.77103
h_043,8192,50901,4500,36.91026,True,0.0,0.0,8192,8192,0,4500,36.91026
h_044,8192,51806,4448,36.66522,True,0.0,0.0,8192,8192,0,4448,36.66522
h_045,8192,54189,5091,47.66236,True,0.0,0.0,8192,8192,0,5091,47.66236
h_046,8192,54350,5027,46.61542,True,0.0,0.0,8192,8192,0,5027,46.61542
h_047,8192,54807,4897,46.31332,True,0.0,0.0,8192,8192,0,4897,46.31332
h_048,8192,54891,5071,46.6649,True,0.0,0.0,8192,8192,0,5071,46.6649
h_049,8192,57468,4617,38.64358,True,0.0,0.0,8192,8192,0,4617,38.64358
h_050,22687,54705,891,42.98196,True,0.0,0.0,22687,22687,0,891,42.98196
h_051,8192,71995,5272,37.61643,True,0.0,0.0,8192,8192,0,5272,37.61643
