file,n,m,FVS_size,runtime,validity,kernelization_time,gnn_candidate_time,initial_kernel_size,final_kernel_size,n_dynamic_reductions,solution_size,time_seconds
h_001,1024,2103,52,28.690334,True,0.00454,20.119896,1024,1024,0,52,28.690334
h_002,1024,3473,40,12.116714,True,0.006299,6.921209,1024,1024,0,40,12.116714
h_003,1024,3480,39,12.380507,True,0.006617,6.659272,1024,1024,0,39,12.380507
h_004,1024,3624,60,19.456191,True,0.007228,6.797606,1024,1024,0,60,19.456191
h_005,843,3995,297,37.55758,True,0.009522,7.524615,843,843,0,297,37.55758
h_006,2048,4096,93,24.931859,True,0.011059,6.889241,2048,2048,0,93,24.931859
h_007,2048,4096,94,17.065767,True,0.013836,6.636107,2048,2048,0,94,17.065767
h_008,1024,5222,31,15.685726,True,0.009407,6.875195,1024,1024,0,31,15.685726
h_009,1024,5231,35,14.949952,True,0.009404,7.290569,1024,1024,0,35,14.949952
h_010,1024,5471,73,34.089161,True,0.090321,6.906772,1024,1024,0,73,34.089161
h_011,1024,5480,81,37.229784,True,0.01034,7.214001,1024,1024,0,81,37.229784
h_012,1024,5487,80,36.972058,True,0.012353,6.954638,1024,1024,0,80,36.972058
h_013,2048,5216,252,37.708146,True,0.017451,7.686136,2048,2048,0,252,37.708146
h_014,2048,5219,216,37.823608,True,0.014334,7.803072,2048,2048,0,216,37.823608
h_015,2048,7005,77,36.149171,True,0.021025,7.442622,2048,2048,0,77,36.149171
h_016,2048,7307,136,37.61988,True,0.01768,7.596047,2048,2048,0,136,37.61988
h_017,1024,9737,257,37.962906,True,0.020846,7.910491,1024,1024,0,257,37.962906
h_018,1974,9003,669,39.942367,True,0.02262,9.892749,1974,1974,0,669,39.942367
h_019,1024,10284,178,37.747736,True,0.019534,7.696958,1024,1024,0,178,37.747736
h_020,1024,10743,289,37.923898,True,0.021314,7.869076,1024,1024,0,289,37.923898
h_021,2048,10573,89,38.048691,True,0.028227,7.988755,2048,2048,0,89,38.048691
h_022,2048,10584,78,38.009317,True,0.022551,7.953453,2048,2048,0,78,38.009317
h_023,2048,11098,214,38.624404,True,0.033415,8.559949,2048,2048,0,214,38.624404
h_024,2650,12400,938,45.067845,True,0.141978,14.882389,2650,2650,0,938,45.067845
h_025,1024,15102,276,39.29694,True,0.033972,9.213666,1024,1024,0,276,39.29694
h_026,2048,14725,185,38.868108,True,0.037564,8.799105,2048,2048,0,185,38.868108
h_027,2048,14738,211,39.431578,True,0.030811,9.372312,2048,2048,0,211,39.431578
h_028,3588,16698,1315,49.615293,True,0.050918,19.525156,3588,3588,0,1315,49.615293
h_029,1024,19861,383,39.003434,True,0.040244,8.918628,1024,1024,0,383,39.003434
h_030,2048,18851,280,40.017309,True,0.042187,9.928716,2048,2048,0,280,40.017309
h_031,2048,18876,352,40.557548,True,0.049646,10.466306,2048,2048,0,352,40.557548
h_032,2048,20942,389,40.816704,True,0.051682,10.725438,2048,2048,0,389,40.816704
h_033,6301,20777,261,39.324709,True,0.150472,9.142118,6301,6301,0,261,39.324709
h_034,4983,22602,2760,60.90952,True,0.085675,30.75801,4983,4983,0,2760,60.90952
h_035,8192,30498,4211,43.680974,True,0.296873,13.33338,8192,8192,0,4211,43.680974
h_036,8192,30671,4175,42.229491,True,0.105884,12.07267,8192,8192,0,4175,42.229491
h_037,8192,30814,4184,42.397296,True,0.215709,12.124749,8192,8192,0,4184,42.397296
h_038,10876,39994,808,47.435398,True,0.094957,17.303665,10876,10876,0,808,47.435398
h_039,9473,43691,7560,90.523687,True,0.281535,60.098026,9473,9473,0,7560,90.523687
h_040,8192,45091,5044,43.066701,True,0.139735,12.85212,8192,8192,0,5044,43.066701
h_041,8192,45139,5154,43.319196,True,0.251929,12.990637,8192,8192,0,5154,43.319196
h_042,8192,45262,5113,43.683579,True,0.140831,13.467131,8192,8192,0,5113,43.683579
h_043,8192,50901,4963,42.500037,True,0.13318,12.298573,8192,8192,0,4963,42.500037
h_044,8192,51806,4828,41.769023,True,0.244034,11.451651,8192,8192,0,4828,41.769023
h_045,8192,54189,5444,57.003952,True,0.168676,26.720334,8192,8192,0,5444,57.003952
h_046,8192,54350,5343,54.699501,True,0.280058,24.318737,8192,8192,0,5343,54.699501
h_047,8192,54807,5449,55.428184,True,0.161674,25.157066,8192,8192,0,5449,55.428184
h_048,8192,54891,5412,57.869588,True,0.313599,27.452292,8192,8192,0,5412,57.869588
h_049,8192,57468,4941,44.889941,True,0.151478,14.649292,8192,8192,0,4941,44.889941
h_050,22687,54705,891,49.071112,True,0.303753,18.724314,22687,22687,0,891,49.071112
h_051,8192,71995,5798,45.251007,True,0.287205,14.84362,8192,8192,0,5798,45.251007
h_052,8192,72700,5764,44.890848,True,0.165093,14.608458,8192,8192,0,5764,44.890848
h_053,8192,73399,5966,45.819382,True,0.27779,15.407643,8192,8192,0,5966,45.819382
h_054,14882,67834,12637,90.642857,True,0.293203,60.100106,14882,14882,0,12637,90.642857
h_055,15268,74339,14169,90.845687,True,0.518083,60.102996,15268,15268,0,14169,90.845687
h_056,8192,82550,5468,47.642607,True,0.17111,17.366071,8192,8192,0,5468,47.642607
h_057,8192,83083,5613,59.830661,True,0.172414,29.542825,8192,8192,0,5613,59.830661
h_058,8192,92304,7089,54.546987,True,0.330409,24.012638,8192,8192,0,7089,54.546987
h_059,7115,103689,620,41.541509,True,0.147586,11.294799,7115,7115,0,620,41.541509
h_060,8192,110532,5936,80.805116,True,0.426636,50.227248,8192,8192,0,5936,80.805116
h_061,8192,112798,6001,79.060961,True,0.286111,48.625238,8192,8192,0,6001,79.060961
h_062,16384,104900,13461,54.434813,True,0.459477,23.755995,16384,16384,0,13461,54.434813
h_063,36682,88328,2340,66.382879,True,0.396264,35.908633,36682,36682,0,2340,66.382879
h_064,23131,107151,20748,91.075017,True,0.603505,60.121745,23131,23131,0,20748,91.075017
h_065,26475,106762,3683,7.70502,True,0.285549,7.322906,26475,26475,0,3683,7.70502
h_066,16384,119886,14769,59.632241,True,0.455859,28.895221,16384,16384,0,14769,59.632241
h_067,8192,138733,7494,76.338636,True,0.35276,45.77721,8192,8192,0,7494,76.338636
h_068,25678,121390,23510,91.180404,True,0.735382,60.076458,25678,25678,0,23510,91.180404
h_069,8192,156904,7766,90.939783,True,0.510208,60.103324,8192,8192,0,7766,90.939783
h_070,8192,168293,7218,91.313076,True,0.536822,60.103125,8192,8192,0,7218,91.313076
h_071,8192,168714,7825,86.059212,True,0.405515,55.341794,8192,8192,0,7825,86.059212
h_072,32078,149020,29334,91.641002,True,1.018526,60.112291,32078,32078,0,29334,91.641002
h_073,16384,166938,14517,75.135019,True,0.453936,44.40439,16384,16384,0,14517,75.135019
h_074,16384,169955,14676,58.914652,True,0.559943,28.007632,16384,16384,0,14676,58.914652
h_075,34978,169522,32862,91.86395,True,1.026187,60.114455,34978,34978,0,32862,91.86395
h_076,36705,170621,33661,91.841912,True,1.079256,60.056689,36705,36705,0,33661,91.841912
h_077,62586,147892,5005,90.934389,True,0.724604,60.098676,62586,62586,0,5005,90.934389
h_078,8192,204075,7883,72.493564,True,0.498556,41.556651,8192,8192,0,7883,72.493564
h_079,16384,216334,15684,80.117863,True,0.727629,49.062855,16384,16384,0,15684,80.117863
h_080,24818,227991,2755,6.836438,True,0.398932,6.435277,24818,24818,0,2755,6.836438
h_081,32768,224254,31747,91.432524,True,0.983427,60.100244,32768,32768,0,31747,91.432524
h_082,48665,222764,44375,92.526732,True,1.485523,60.106294,48665,48665,0,44375,92.526732
h_083,32768,256256,31087,91.60623,True,1.184,60.069469,32768,32768,0,31087,91.60623
h_084,16384,273584,14934,91.378975,True,0.857347,60.108724,16384,16384,0,14934,91.378975
h_085,16384,283794,16089,91.705983,True,0.973871,60.12853,16384,16384,0,16089,91.705983
