file,n,m,FVS_size,runtime,validity,kernelization_time,gnn_candidate_time,initial_kernel_size,final_kernel_size,n_dynamic_reductions,solution_size,time_seconds
h_001,1024,2103,54,12.950217,True,0.011511,6.290248,1024,1024,0,54,12.950217
h_002,1024,3473,38,10.859537,True,0.01298,3.933012,1024,1024,0,38,10.859537
h_003,1024,3480,39,10.152265,True,0.011842,3.936821,1024,1024,0,39,10.152265
h_004,1024,3624,60,22.94215,True,0.015099,4.23319,1024,1024,0,60,22.94215
h_005,843,3995,297,34.948263,True,0.01831,4.903408,843,843,0,297,34.948263
h_006,2048,4096,93,30.599872,True,0.01857,4.236229,2048,2048,0,93,30.599872
h_007,2048,4096,94,19.626227,True,0.020893,4.212609,2048,2048,0,94,19.626227
h_008,1024,5222,31,13.156631,True,0.01782,4.103663,1024,1024,0,31,13.156631
h_009,1024,5231,34,12.288036,True,0.016733,4.175387,1024,1024,0,34,12.288036
h_010,1024,5471,74,34.474498,True,0.019671,4.447925,1024,1024,0,74,34.474498
h_011,1024,5480,86,34.411502,True,0.019888,4.380101,1024,1024,0,86,34.411502
h_012,1024,5487,91,34.580015,True,0.021468,4.550085,1024,1024,0,91,34.580015
h_013,2048,5216,252,35.457473,True,0.120771,5.310584,2048,2048,0,252,35.457473
h_014,2048,5219,246,35.132711,True,0.024702,5.079337,2048,2048,0,246,35.132711
h_015,2048,7005,83,34.765224,True,0.029009,4.73032,2048,2048,0,83,34.765224
h_016,2048,7307,136,35.159156,True,0.032014,5.097177,2048,2048,0,136,35.159156
h_017,1024,9737,257,35.743673,True,0.039249,5.66521,1024,1024,0,257,35.743673
h_018,1974,9003,687,38.856718,True,0.039384,8.788036,1974,1974,0,687,38.856718
h_019,1024,10284,178,35.633372,True,0.043095,5.552804,1024,1024,0,178,35.633372
h_020,1024,10743,289,35.941433,True,0.047448,5.853999,1024,1024,0,289,35.941433
h_021,2048,10573,89,35.164399,True,0.046719,5.083573,2048,2048,0,89,35.164399
h_022,2048,10584,78,35.107192,True,0.045277,5.027854,2048,2048,0,78,35.107192
h_023,2048,11098,214,36.356857,True,0.158461,6.16616,2048,2048,0,214,36.356857
h_024,2650,12400,938,43.170196,True,0.066548,13.071859,2650,2650,0,938,43.170196
h_025,1024,15102,276,36.398659,True,0.065802,6.275384,1024,1024,0,276,36.398659
h_026,2048,14725,185,36.892686,True,0.067996,6.788161,2048,2048,0,185,36.892686
h_027,2048,14738,211,36.699047,True,0.065384,6.595249,2048,2048,0,211,36.699047
h_028,3588,16698,1315,50.058097,True,0.105249,19.909103,3588,3588,0,1315,50.058097
h_029,1024,19861,383,37.150454,True,0.085441,7.0055,1024,1024,0,383,37.150454
h_030,2048,18851,280,38.102722,True,0.079458,7.976817,2048,2048,0,280,38.102722
h_031,2048,18876,352,38.40856,True,0.192123,8.170611,2048,2048,0,352,38.40856
h_032,2048,20942,389,39.273677,True,0.09558,9.133331,2048,2048,0,389,39.273677
h_033,6301,20777,261,36.944363,True,0.08781,6.827567,6301,6301,0,261,36.944363
h_034,4983,22602,2453,63.61902,True,0.229844,33.33447,4983,4983,0,2453,63.61902
h_035,8192,30498,4352,37.470696,True,0.161412,7.259673,8192,8192,0,4352,37.470696
h_036,8192,30671,4331,37.589098,True,0.25355,7.289532,8192,8192,0,4331,37.589098
h_037,8192,30814,4402,37.740095,True,0.161143,7.538578,8192,8192,0,4402,37.740095
h_038,10876,39994,808,47.444387,True,0.264193,17.129265,10876,10876,0,808,47.444387
h_039,9473,43691,7459,90.477352,True,0.244746,60.097593,9473,9473,0,7459,90.477352
h_040,8192,45091,5343,38.653381,True,0.326048,8.249264,8192,8192,0,5343,38.653381
h_041,8192,45139,5446,38.752779,True,0.199124,8.474393,8192,8192,0,5446,38.752779
h_042,8192,45262,5437,38.796379,True,0.323849,8.389771,8192,8192,0,5437,38.796379
h_043,8192,50901,5223,37.647417,True,0.198571,7.361852,8192,8192,0,5223,37.647417
h_044,8192,51806,5148,37.749496,True,0.188614,7.479873,8192,8192,0,5148,37.749496
h_045,8192,54189,5757,57.608617,True,0.220282,27.283732,8192,8192,0,5757,57.608617
h_046,8192,54350,5637,55.749189,True,0.333484,25.325395,8192,8192,0,5637,55.749189
h_047,8192,54807,5664,56.900256,True,0.242836,26.555629,8192,8192,0,5664,56.900256
h_048,8192,54891,5741,58.97615,True,0.249749,28.612998,8192,8192,0,5741,58.97615
h_049,8192,57468,5283,41.40991,True,0.346651,10.978578,8192,8192,0,5283,41.40991
