file,n,m,FVS_size,runtime,validity,kernelization_time,gnn_candidate_time,initial_kernel_size,final_kernel_size,n_dynamic_reductions,solution_size,time_seconds
h_001,1024,2103,52,22.905177,True,0.005079,16.08736,1024,1024,0,52,22.905177
h_002,1024,3473,40,5.340997,True,0.007854,0.01713,1024,1024,0,40,5.340997
h_003,1024,3480,39,5.77407,True,0.007187,0.015877,1024,1024,0,39,5.77407
h_004,1024,3624,60,12.922103,True,0.007904,0.019972,1024,1024,0,60,12.922103
h_005,843,3995,297,30.061387,True,0.010102,0.029513,843,843,0,297,30.061387
h_006,2048,4096,93,18.166921,True,0.01096,0.021122,2048,2048,0,93,18.166921
h_007,2048,4096,94,10.614535,True,0.010837,0.019969,2048,2048,0,94,10.614535
h_008,1024,5222,31,9.20028,True,0.009632,0.020301,1024,1024,0,31,9.20028
h_009,1024,5231,37,8.271302,True,0.009504,0.019299,1024,1024,0,37,8.271302
h_010,1024,5471,73,28.89255,True,0.010656,0.024122,1024,1024,0,73,28.89255
h_011,1024,5480,82,30.037607,True,0.010761,0.023081,1024,1024,0,82,30.037607
h_012,1024,5487,81,30.041478,True,0.010504,0.027177,1024,1024,0,81,30.041478
h_013,2048,5216,252,30.049417,True,0.014553,0.031555,2048,2048,0,252,30.049417
h_014,2048,5219,221,30.049461,True,0.013866,0.031666,2048,2048,0,221,30.049461
h_015,2048,7005,77,29.723317,True,0.014952,0.027045,2048,2048,0,77,29.723317
h_016,2048,7307,136,30.073823,True,0.017026,0.030458,2048,2048,0,136,30.073823
h_017,1024,9737,257,30.083594,True,0.020038,0.035174,1024,1024,0,257,30.083594
h_018,1974,9003,669,30.098687,True,0.02238,0.058201,1974,1974,0,669,30.098687
h_019,1024,10284,178,30.083622,True,0.018901,0.033179,1024,1024,0,178,30.083622
h_020,1024,10743,289,30.08879,True,0.021165,0.036285,1024,1024,0,289,30.08879
h_021,2048,10573,89,30.079878,True,0.020407,0.029966,2048,2048,0,89,30.079878
h_022,2048,10584,78,30.079955,True,0.020518,0.029459,2048,2048,0,78,30.079955
h_023,2048,11098,214,30.090388,True,0.026365,0.040616,2048,2048,0,214,30.090388
h_024,2650,12400,938,30.184318,True,0.030434,0.135832,2650,2650,0,938,30.184318
h_025,1024,15102,276,30.258666,True,0.180666,0.040429,1024,1024,0,276,30.258666
h_026,2048,14725,185,30.101938,True,0.029458,0.045776,2048,2048,0,185,30.101938
h_027,2048,14738,211,30.098497,True,0.029029,0.043107,2048,2048,0,211,30.098497
h_028,3588,16698,1315,30.258855,True,0.042689,0.19027,3588,3588,0,1315,30.258855
h_029,1024,19861,383,30.120173,True,0.036607,0.043857,1024,1024,0,383,30.120173
h_030,2048,18851,280,30.124284,True,0.038379,0.054019,2048,2048,0,280,30.124284
h_031,2048,18876,344,30.119944,True,0.037005,0.054193,2048,2048,0,344,30.119944
h_032,2048,20942,389,30.14421,True,0.04773,0.058354,2048,2048,0,389,30.14421
h_033,6301,20777,261,30.119167,True,0.040386,0.04755,6301,6301,0,261,30.119167
h_034,4983,22602,1889,30.450708,True,0.06754,0.350228,4983,4983,0,1889,30.450708
h_035,8192,30498,4205,30.263733,True,0.076814,0.163425,8192,8192,0,4205,30.263733
h_036,8192,30671,4211,30.41254,True,0.228715,0.160503,8192,8192,0,4211,30.41254
h_037,8192,30814,4234,30.267333,True,0.075424,0.167098,8192,8192,0,4234,30.267333
h_038,10876,39994,808,30.263924,True,0.080612,0.15253,10876,10876,0,808,30.263924
h_039,9473,43691,7035,31.303621,True,0.132689,1.101766,9473,9473,0,7035,31.303621
h_040,8192,45091,5038,30.51271,True,0.26837,0.205286,8192,8192,0,5038,30.51271
h_041,8192,45139,5166,30.351688,True,0.103211,0.201415,8192,8192,0,5166,30.351688
h_042,8192,45262,5118,30.353675,True,0.107871,0.199922,8192,8192,0,5118,30.353675
h_043,8192,50901,4957,30.328726,True,0.112931,0.172164,8192,8192,0,4957,30.328726
h_044,8192,51806,4872,30.47299,True,0.268251,0.16298,8192,8192,0,4872,30.47299
h_045,8192,54189,5478,30.502895,True,0.126147,0.317066,8192,8192,0,5478,30.502895
h_046,8192,54350,5358,30.475653,True,0.1275,0.291282,8192,8192,0,5358,30.475653
h_047,8192,54807,5397,30.494649,True,0.12656,0.302031,8192,8192,0,5397,30.494649
h_048,8192,54891,5458,30.512552,True,0.132553,0.324745,8192,8192,0,5458,30.512552
h_049,8192,57468,4986,30.521367,True,0.292074,0.175848,8192,8192,0,4986,30.521367
h_050,22687,54705,891,30.313104,True,0.118532,0.17092,22687,22687,0,891,30.313104
h_051,8192,71995,5756,30.593573,True,0.298215,0.221608,8192,8192,0,5756,30.593573
h_052,8192,72700,5815,30.44351,True,0.147497,0.223263,8192,8192,0,5815,30.44351
h_053,8192,73399,5909,30.469386,True,0.152266,0.225448,8192,8192,0,5909,30.469386
h_054,14882,67834,12360,32.802921,True,0.384035,2.298381,14882,14882,0,12360,32.802921
h_055,15268,74339,13970,33.283708,True,0.240427,2.894438,15268,15268,0,13970,33.283708
h_056,8192,82550,5491,30.438202,True,0.158449,0.20191,8192,8192,0,5491,30.438202
h_057,8192,83083,5657,30.656412,True,0.358183,0.226665,8192,8192,0,5657,30.656412
h_058,8192,92304,7087,30.645344,True,0.198655,0.320284,8192,8192,0,7087,30.645344
h_059,7115,103689,620,30.247107,True,0.123721,0.055552,7115,7115,0,620,30.247107
h_060,8192,110532,5860,30.560752,True,0.206251,0.254059,8192,8192,0,5860,30.560752
h_061,8192,112798,5933,30.587867,True,0.208707,0.264119,8192,8192,0,5933,30.587867
h_062,16384,104900,13560,31.087591,True,0.464278,0.491215,16384,16384,0,13560,31.087591
h_063,36682,88328,1840,30.806629,True,0.391011,0.370927,36682,36682,0,1840,30.806629
h_064,23131,107151,20576,36.496335,True,0.576073,5.65372,23131,23131,0,20576,36.496335
h_065,26475,106762,3683,0.225526,True,0.128917,0.007665,26475,26475,0,3683,0.225526
h_066,16384,119886,14818,31.226955,True,0.478857,0.577694,16384,16384,0,14818,31.226955
h_067,8192,138733,7458,30.808558,True,0.322015,0.310486,8192,8192,0,7458,30.808558
h_068,25678,121390,23393,37.974331,True,0.618479,7.101932,25678,25678,0,23393,37.974331
h_069,8192,156904,7725,31.095691,True,0.3599,0.499269,8192,8192,0,7725,31.095691
h_070,8192,168293,7145,32.013432,True,0.576913,0.978883,8192,8192,0,7145,32.013432
h_071,8192,168714,7797,30.924878,True,0.363861,0.327039,8192,8192,0,7797,30.924878
h_072,32078,149020,29224,41.770197,True,0.779575,10.585271,32078,32078,0,29224,41.770197
h_073,16384,166938,14486,31.272404,True,0.409024,0.661273,16384,16384,0,14486,31.272404
h_074,16384,169955,14650,31.336337,True,0.605062,0.529899,16384,16384,0,14650,31.336337
h_075,34978,169522,32780,44.812848,True,0.824743,13.575336,34978,34978,0,32780,44.812848
h_076,36705,170621,33585,45.159872,True,0.850983,13.908498,36705,36705,0,33585,45.159872
