file,n,m,FVS_size,runtime,validity,kernelization_time,gnn_candidate_time,initial_kernel_size,final_kernel_size,n_dynamic_reductions,solution_size,time_seconds
h_001,1024,2103,52,8.472517,True,0.008811,0.0,1024,1024,0,52,8.472517
h_002,1024,3473,40,7.978597,True,0.014553,0.0,1024,1024,0,40,7.978597
h_003,1024,3480,39,8.479895,True,0.011587,0.0,1024,1024,0,39,8.479895
h_004,1024,3624,60,18.721556,True,0.014808,0.0,1024,1024,0,60,18.721556
h_005,843,3995,288,116.432922,True,0.017823,0.0,843,843,0,288,116.432922
h_006,2048,4096,93,25.977618,True,0.020082,0.0,2048,2048,0,93,25.977618
h_007,2048,4096,94,15.180139,True,0.020303,0.0,2048,2048,0,94,15.180139
h_008,1024,5222,31,13.371759,True,0.018525,0.0,1024,1024,0,31,13.371759
h_009,1024,5231,37,12.085409,True,0.017432,0.0,1024,1024,0,37,12.085409
h_010,1024,5471,73,41.641767,True,0.0191,0.0,1024,1024,0,73,41.641767
h_011,1024,5480,81,52.004091,True,0.01903,0.0,1024,1024,0,81,52.004091
h_012,1024,5487,78,65.503841,True,0.025409,0.0,1024,1024,0,78,65.503841
h_013,2048,5216,212,107.606633,True,0.034303,0.0,2048,2048,0,212,107.606633
h_014,2048,5219,195,119.197362,True,0.040482,0.0,2048,2048,0,195,119.197362
h_015,2048,7005,77,42.83976,True,0.034997,0.0,2048,2048,0,77,42.83976
h_016,2048,7307,112,73.183312,True,0.037965,0.0,2048,2048,0,112,73.183312
h_017,1024,9737,221,418.675846,True,0.042195,0.0,1024,1024,0,221,418.675846
h_018,1974,9003,633,888.40426,True,0.12707,0.0,1974,1974,0,633,888.40426
h_019,1024,10284,147,222.606921,True,0.045826,0.0,1024,1024,0,147,222.606921
h_020,1024,10743,264,293.070148,True,0.049701,0.0,1024,1024,0,264,293.070148
h_021,2048,10573,71,68.112092,True,0.04742,0.0,2048,2048,0,71,68.112092
h_022,2048,10584,61,70.835112,True,0.045512,0.0,2048,2048,0,61,70.835112
h_023,2048,11098,154,228.216739,True,0.054597,0.0,2048,2048,0,154,228.216739
h_024,2650,12400,926,1000.100806,True,0.079463,0.0,2650,2650,0,926,1000.100806
h_025,1024,15102,226,623.248792,True,0.047592,0.0,1024,1024,0,226,623.248792
h_026,2048,14725,140,320.364159,True,0.050096,0.0,2048,2048,0,140,320.364159
h_027,2048,14738,134,492.097305,True,0.051754,0.0,2048,2048,0,134,492.097305
h_028,3588,16698,1233,1000.30571,True,0.147962,0.0,3588,3588,0,1233,1000.30571
h_029,1024,19861,326,1000.102315,True,0.06319,0.0,1024,1024,0,326,1000.102315
h_030,2048,18851,207,1000.087796,True,0.063626,0.0,2048,2048,0,207,1000.087796
h_031,2048,18876,222,782.790682,True,0.068271,0.0,2048,2048,0,222,782.790682
h_032,2048,20942,265,1000.113488,True,0.084193,0.0,2048,2048,0,265,1000.113488
h_033,6301,20777,235,360.208314,True,0.104587,0.0,6301,6301,0,235,360.208314
h_034,4983,22602,1632,1000.314194,True,0.17396,0.0,4983,4983,0,1632,1000.314194
h_035,8192,30498,4205,1000.309163,True,0.179289,0.0,8192,8192,0,4205,1000.309163
h_036,8192,30671,4194,1000.325552,True,0.196185,0.0,8192,8192,0,4194,1000.325552
h_037,8192,30814,4204,1000.253809,True,0.134205,0.0,8192,8192,0,4204,1000.253809
h_038,10876,39994,735,1000.258067,True,0.229844,0.0,10876,10876,0,735,1000.258067
h_039,9473,43691,3260,1000.448067,True,0.291918,0.0,9473,9473,0,3260,1000.448067
h_040,8192,45091,4369,1000.324199,True,0.191381,0.0,8192,8192,0,4369,1000.324199
h_041,8192,45139,4401,1000.425875,True,0.28684,0.0,8192,8192,0,4401,1000.425875
h_042,8192,45262,4416,1000.669943,True,0.183174,0.0,8192,8192,0,4416,1000.669943
h_043,8192,50901,4316,1000.369181,True,0.250077,0.0,8192,8192,0,4316,1000.369181
h_044,8192,51806,4440,1000.374898,True,0.249002,0.0,8192,8192,0,4440,1000.374898
h_045,8192,54189,4408,1000.430875,True,0.293197,0.0,8192,8192,0,4408,1000.430875
h_046,8192,54350,4368,1000.403441,True,0.259128,0.0,8192,8192,0,4368,1000.403441
h_047,8192,54807,4337,1000.421421,True,0.271714,0.0,8192,8192,0,4337,1000.421421
h_048,8192,54891,4356,1000.427301,True,0.279871,0.0,8192,8192,0,4356,1000.427301
h_049,8192,57468,4269,1000.365106,True,0.244342,0.0,8192,8192,0,4269,1000.365106
h_050,22687,54705,788,1000.224815,True,0.205589,0.0,22687,22687,0,788,1000.224815
h_051,8192,71995,4474,1000.450231,True,0.292141,0.0,8192,8192,0,4474,1000.450231
h_052,8192,72700,4483,1000.439045,True,0.286454,0.0,8192,8192,0,4483,1000.439045
h_053,8192,73399,4540,1000.453976,True,0.293018,0.0,8192,8192,0,4540,1000.453976
h_054,14882,67834,5011,1000.630677,True,0.408136,0.0,14882,14882,0,5011,1000.630677
h_055,15268,74339,5918,1000.704561,True,0.486849,0.0,15268,15268,0,5918,1000.704561
h_056,8192,82550,4304,1000.452724,True,0.286467,0.0,8192,8192,0,4304,1000.452724
h_057,8192,83083,4330,1000.470227,True,0.304514,0.0,8192,8192,0,4330,1000.470227
h_058,8192,92304,5619,1000.614979,True,0.418338,0.0,8192,8192,0,5619,1000.614979
h_059,7115,103689,592,1000.69334,True,0.244736,0.0,7115,7115,0,592,1000.69334
h_060,8192,110532,4254,1000.644638,True,0.41027,0.0,8192,8192,0,4254,1000.644638
h_061,8192,112798,4244,1000.566839,True,0.382306,0.0,8192,8192,0,4244,1000.566839
h_062,16384,104900,9814,1000.750791,True,0.530855,0.0,16384,16384,0,9814,1000.750791
h_063,36682,88328,1448,1000.536603,True,0.372236,0.0,36682,36682,0,1448,1000.536603
h_064,23131,107151,11887,1001.064802,True,0.677132,0.0,23131,23131,0,11887,1001.064802
h_065,26475,106762,3683,0.375095,True,0.25208,0.0,26475,26475,0,3683,0.375095
h_066,16384,119886,11118,1000.817893,True,0.593877,0.0,16384,16384,0,11118,1000.817893
h_067,8192,138733,5961,1000.844044,True,0.547636,0.0,8192,8192,0,5961,1000.844044
h_068,25678,121390,15771,1001.246084,True,0.781092,0.0,25678,25678,0,15771,1001.246084
h_069,8192,156904,6792,1000.98728,True,0.693834,0.0,8192,8192,0,6792,1000.98728
h_070,8192,168293,6089,1001.363619,True,0.594326,0.0,8192,8192,0,6089,1001.363619
h_071,8192,168714,6771,1000.964503,True,0.626194,0.0,8192,8192,0,6771,1000.964503
h_072,32078,149020,22820,1001.686041,True,1.011649,0.0,32078,32078,0,22820,1001.686041
h_073,16384,166938,10326,1001.151149,True,0.844238,0.0,16384,16384,0,10326,1001.151149
h_074,16384,169955,10523,1001.251834,True,0.876458,0.0,16384,16384,0,10523,1001.251834
h_075,34978,169522,27344,1002.122416,True,1.464929,0.0,34978,34978,0,27344,1002.122416
h_076,36705,170621,27993,1001.941846,True,1.352601,0.0,36705,36705,0,27993,1001.941846
h_077,62586,147892,2017,1000.82125,True,0.638514,0.0,62586,62586,0,2017,1000.82125
h_078,8192,204075,7007,1001.323326,True,0.820617,0.0,8192,8192,0,7007,1001.323326
h_079,16384,216334,12674,1001.502225,True,1.066043,0.0,16384,16384,0,12674,1001.502225
h_080,24818,227991,2755,0.383312,True,0.381361,0.0,24818,24818,0,2755,0.383312
h_081,32768,224254,26975,1001.661752,True,1.261879,0.0,32768,32768,0,26975,1001.661752
