file,n,m,FVS_size,runtime,validity,kernelization_time,gnn_candidate_time
h_001,1024,2103,52,8.001284,True,0.021772,0.0
h_002,1024,3473,40,7.210224,True,0.011765,0.0
h_003,1024,3480,39,7.615503,True,0.01233,0.0
h_004,1024,3624,60,17.049058,True,0.01312,0.0
h_005,843,3995,294,60.025143,True,0.019222,0.0
h_006,2048,4096,93,23.688153,True,0.036486,0.0
h_007,2048,4096,94,14.210007,True,0.020273,0.0
h_008,1024,5222,31,12.253278,True,0.018668,0.0
h_009,1024,5231,37,11.350879,True,0.018649,0.0
h_010,1024,5471,73,38.236169,True,0.021709,0.0
h_011,1024,5480,81,47.745191,True,0.022258,0.0
h_012,1024,5487,78,60.024636,True,0.020083,0.0
h_013,2048,5216,221,60.036074,True,0.031071,0.0
h_014,2048,5219,207,60.034212,True,0.029412,0.0
h_015,2048,7005,77,39.940187,True,0.02719,0.0
h_016,2048,7307,112,60.039102,True,0.032655,0.0
h_017,1024,9737,257,60.095215,True,0.039509,0.0
h_018,1974,9003,650,60.079817,True,0.047243,0.0
h_019,1024,10284,178,60.108638,True,0.038234,0.0
h_020,1024,10743,289,60.133741,True,0.083245,0.0
h_021,2048,10573,71,60.05297,True,0.045055,0.0
h_022,2048,10584,61,60.04832,True,0.040803,0.0
h_023,2048,11098,214,60.100304,True,0.056742,0.0
h_024,2650,12400,937,60.105257,True,0.070497,0.0
h_025,1024,15102,276,60.148073,True,0.07515,0.0
h_026,2048,14725,185,60.115866,True,0.067604,0.0
h_027,2048,14738,211,60.118899,True,0.070524,0.0
h_028,3588,16698,1315,60.17292,True,0.121208,0.0
h_029,1024,19861,369,60.171412,True,0.101492,0.0
h_030,2048,18851,280,60.179807,True,0.127962,0.0
h_031,2048,18876,344,60.155315,True,0.095124,0.0
h_032,2048,20942,382,60.207523,True,0.15223,0.0
h_033,6301,20777,261,60.146003,True,0.103767,0.0
h_034,4983,22602,1659,60.229207,True,0.185063,0.0
h_035,8192,30498,4205,60.219887,True,0.171104,0.0
h_036,8192,30671,4211,60.2003,True,0.16414,0.0
h_037,8192,30814,4234,60.222004,True,0.178915,0.0
h_038,10876,39994,808,60.239682,True,0.2013,0.0
h_039,9473,43691,6454,60.384379,True,0.287162,0.0
h_040,8192,45091,4703,60.26678,True,0.210897,0.0
h_041,8192,45139,4833,60.267383,True,0.212365,0.0
h_042,8192,45262,4808,60.284618,True,0.217933,0.0
h_043,8192,50901,4646,60.304902,True,0.240547,0.0
h_044,8192,51806,4569,60.272776,True,0.226061,0.0
h_045,8192,54189,5164,60.392409,True,0.295244,0.0
h_046,8192,54350,5066,60.359646,True,0.275799,0.0
h_047,8192,54807,5075,60.384259,True,0.296011,0.0
h_048,8192,54891,5187,60.390693,True,0.297499,0.0
h_049,8192,57468,4695,60.398836,True,0.327785,0.0
h_050,22687,54705,891,60.240039,True,0.208061,0.0
h_051,8192,71995,5469,60.383105,True,0.282421,0.0
h_052,8192,72700,5504,60.395339,True,0.284095,0.0
h_053,8192,73399,5573,60.390568,True,0.284856,0.0
h_054,14882,67834,11864,60.5901,True,0.411176,0.0
h_055,15268,74339,13563,60.612695,True,0.389978,0.0
h_056,8192,82550,5162,60.383118,True,0.291078,0.0
h_057,8192,83083,5360,60.414748,True,0.305298,0.0
h_058,8192,92304,6827,60.510536,True,0.356217,0.0
h_059,7115,103689,620,60.368979,True,0.269182,0.0
h_060,8192,110532,5598,60.53333,True,0.392001,0.0
h_061,8192,112798,5649,60.54992,True,0.392085,0.0
h_062,16384,104900,13195,60.686539,True,0.497695,0.0
h_063,36682,88328,1448,60.388765,True,0.329473,0.0
h_064,23131,107151,20364,61.07934,True,0.670136,0.0
h_065,26475,106762,3683,0.350849,True,0.234191,0.0
h_066,16384,119886,14594,60.781423,True,0.561976,0.0
h_067,8192,138733,7281,60.730718,True,0.456825,0.0
h_068,25678,121390,23196,61.277655,True,0.821764,0.0
h_069,8192,156904,7605,60.989649,True,0.625352,0.0
h_070,8192,168293,7083,61.584265,True,0.698041,0.0
h_071,8192,168714,7679,61.057831,True,0.720237,0.0
h_072,32078,149020,29080,61.785685,True,1.189893,0.0
h_073,16384,166938,14241,61.042567,True,0.700857,0.0
h_074,16384,169955,14411,61.145351,True,0.839794,0.0
h_075,34978,169522,32672,62.057504,True,1.323795,0.0
h_076,36705,170621,33468,62.036084,True,1.426568,0.0
h_077,62586,147892,3998,60.81262,True,0.669012,0.0
h_078,8192,204075,7755,61.407204,True,0.945187,0.0
h_079,16384,216334,15483,61.509008,True,1.059823,0.0
h_080,24818,227991,2755,0.374613,True,0.372652,0.0
h_081,32768,224254,31505,61.816145,True,1.387141,0.0
h_082,48665,222764,44224,62.693489,True,1.734031,0.0
h_083,32768,256256,30878,61.798542,True,1.326707,0.0
h_084,16384,273584,14749,61.517646,True,0.990621,0.0
h_085,16384,283794,15931,61.771272,True,1.221937,0.0
h_086,8192,295951,7872,61.666343,True,1.083046,0.0
h_087,58960,269439,53386,63.046723,True,2.03396,0.0
h_088,60892,286474,56229,63.2215,True,2.158694,0.0
h_089,8192,358201,7983,61.805535,True,1.043727,0.0
h_090,16384,353824,15768,62.160695,True,1.536431,0.0
h_091,16384,354031,15824,62.125212,True,1.479771,0.0
h_092,63674,306833,60495,63.658212,True,2.204822,0.0
h_093,32768,363878,31666,62.477937,True,1.743716,0.0
h_094,68946,335845,66002,64.118648,True,2.478415,0.0
h_095,32768,409363,32211,62.818623,True,2.055702,0.0
h_096,34546,421534,504,61.036796,True,1.031155,0.0
h_097,16384,458925,15749,62.742642,True,1.891471,0.0
h_098,32768,503494,32101,63.114359,True,2.21824,0.0
h_099,97898,447979,88687,65.70931,True,3.641988,0.0
h_100,75879,508837,12288,61.433,True,1.321831,0.0
h_101,65536,618237,64800,64.398243,True,3.344456,0.0
h_102,265214,418956,842,1.710916,True,1.710062,0.0
h_103,159316,544621,13303,1.590913,True,1.590882,0.0
h_104,65536,640429,64434,64.598797,True,3.323019,0.0
h_105,65536,652583,65095,64.638508,True,3.398946,0.0
h_106,65536,654158,65016,64.430634,True,3.379113,0.0
h_107,32768,699385,32141,64.349878,True,3.101131,0.0
h_108,65536,688044,65282,64.402598,True,3.301962,0.0
h_109,8192,839576,8107,64.898352,True,2.708326,0.0
h_110,32768,826394,32451,65.189543,True,3.612672,0.0
h_111,77360,828161,22678,61.57056,True,1.563285,0.0
h_112,8192,944523,8126,65.910294,True,3.103857,0.0
h_113,194085,854377,18574,2.38849,True,2.361173,0.0
h_114,187341,865700,173227,71.991931,True,7.761461,0.0
h_115,262111,1234877,185012,69.808446,True,8.301278,0.0
h_116,299580,1363755,272142,80.022782,True,13.152189,0.0
h_117,325729,1469679,62025,71.213614,True,9.71631,0.0
h_118,81306,1768135,56136,71.275918,True,7.11061,0.0
h_119,342573,1619304,322569,85.210188,True,16.339885,0.0
h_120,32768,2049515,32004,74.201887,True,8.595992,0.0
h_121,16384,2076651,16339,74.419587,True,7.449733,0.0
h_122,2048,2097152,2042,81.921247,True,6.997109,0.0
h_123,4096,2097152,4078,84.779314,True,9.197231,0.0
h_124,8192,2097152,8162,88.121746,True,8.74882,0.0
h_125,16384,2097152,16224,86.37105,True,9.279441,0.0
h_126,65536,2048311,65451,73.589228,True,9.267486,0.0
h_127,32768,2128971,32691,74.086365,True,9.284223,0.0
h_128,32768,2130600,32697,74.347986,True,9.389478,0.0
h_129,32768,2148521,32213,87.339853,True,9.714621,0.0
h_130,16384,2192284,16342,73.479996,True,7.923322,0.0
h_131,16384,2194576,16347,73.3797,True,7.854457,0.0
h_132,65536,2184865,65464,74.029677,True,9.531426,0.0
h_133,131072,2130456,129642,75.014011,True,11.393744,0.0
h_134,131072,2131741,130046,75.78238,True,11.69308,0.0
h_135,32768,2235835,32262,76.502494,True,10.335392,0.0
h_136,32768,2240608,32401,77.791509,True,11.342238,0.0
h_137,32768,2241646,32268,77.608262,True,10.89004,0.0
h_138,32768,2270902,32704,76.5648,True,11.187746,0.0
h_139,16384,2293868,16350,76.560901,True,8.693432,0.0
h_140,131072,2199584,129173,74.54399,True,10.598861,0.0
h_141,65536,2321780,65472,76.131408,True,10.981068,0.0
h_142,131072,2294338,130610,76.459814,True,11.981394,0.0
h_143,32768,2412833,32719,74.61434,True,9.379232,0.0
h_144,32768,2416672,32716,74.38184,True,9.060464,0.0
h_145,32768,2416820,32715,74.878888,True,8.974119,0.0
h_146,131072,2322563,130406,75.579469,True,11.293196,0.0
h_147,32768,2422154,32383,77.29862,True,11.180509,0.0
