file,n,m,FVS_size,runtime,validity
h_001,1024,2103,52,26.156617,True
h_002,1024,3473,39,37.218628,True
h_003,1024,3480,40,41.685601,True
h_004,1024,3624,63,48.192298,True
h_005,843,3995,297,60.002847,True
h_006,2048,4096,116,60.002451,True
h_007,2048,4096,111,60.030554,True
h_008,1024,5222,31,53.780733,True
h_009,1024,5231,36,56.695179,True
h_010,1024,5471,81,60.002906,True
h_011,1024,5480,89,60.003518,True
h_012,1024,5487,86,60.003863,True
h_013,2048,5216,277,60.026893,True
h_014,2048,5219,266,60.025763,True
h_015,2048,7005,110,60.026984,True
h_016,2048,7307,150,60.027497,True
h_017,1024,9737,257,60.042892,True
h_018,1974,9003,648,60.022371,True
h_019,1024,10284,188,60.04296,True
h_020,1024,10743,300,60.041711,True
h_021,2048,10573,86,60.028951,True
h_022,2048,10584,101,60.032161,True
h_023,2048,11098,205,60.028372,True
h_024,2650,12400,958,60.024825,True
h_025,1024,15102,290,60.050439,True
h_026,2048,14725,209,60.030329,True
h_027,2048,14738,189,60.038893,True
h_028,3588,16698,1284,60.033482,True
h_029,1024,19861,372,60.060244,True
h_030,2048,18851,303,60.040961,True
h_031,2048,18876,333,60.041545,True
h_032,2048,20942,314,60.045875,True
h_033,6301,20777,286,60.036572,True
h_034,4983,22602,1689,60.036311,True
h_035,8192,30498,5158,60.034374,True
h_036,8192,30671,5115,60.03492,True
h_037,8192,30814,5063,60.036104,True
h_038,10876,39994,1040,60.069024,True
h_039,9473,43691,6727,60.093051,True
h_040,8192,45091,5669,60.057744,True
h_041,8192,45139,5684,60.058249,True
h_042,8192,45262,5659,60.052116,True
h_043,8192,50901,5735,60.076967,True
h_044,8192,51806,5964,60.070566,True
h_045,8192,54189,5892,60.058294,True
h_046,8192,54350,5777,60.071409,True
h_047,8192,54807,5768,60.068817,True
h_048,8192,54891,5839,60.06742,True
h_049,8192,57468,5955,60.08159,True
h_050,22687,54705,1613,60.085566,True
h_051,8192,71995,6166,60.108073,True
h_052,8192,72700,6225,60.082987,True
h_053,8192,73399,6231,60.075971,True
h_054,14882,67834,12243,60.156749,True
h_055,15268,74339,13226,60.192124,True
h_056,8192,82550,5911,60.091387,True
h_057,8192,83083,6095,60.100449,True
h_058,8192,92304,7051,60.142487,True
h_059,7115,103689,747,60.245865,True
h_060,8192,110532,6269,60.141378,True
h_061,8192,112798,6104,60.123535,True
h_062,16384,104900,14275,60.112018,True
h_063,36682,88328,5405,60.215883,True
h_064,23131,107151,20517,60.217295,True
h_065,26475,106762,15563,60.195322,True
h_066,16384,119886,14992,60.149837,True
h_067,8192,138733,7280,60.16503,True
h_068,25678,121390,23179,60.285394,True
h_069,8192,156904,7623,60.239061,True
h_070,8192,168293,7081,60.430961,True
h_071,8192,168714,7718,60.228067,True
h_072,32078,149020,28716,60.398697,True
h_073,16384,166938,14653,60.175756,True
h_074,16384,169955,15019,60.171684,True
h_075,34978,169522,33134,60.531899,True
h_076,36705,170621,33741,60.544811,True
h_077,62586,147892,9732,60.389438,True
h_078,8192,204075,7747,60.318039,True
h_079,16384,216334,15490,60.299818,True
h_080,24818,227991,13267,60.828358,True
h_081,32768,224254,32019,60.308631,True
h_082,48665,222764,43531,60.61597,True
h_083,32768,256256,31752,60.27827,True
h_084,16384,273584,15282,60.360757,True
h_085,16384,283794,15922,60.424406,True
h_086,8192,295951,7875,60.478599,True
h_087,58960,269439,53554,60.820567,True
h_088,60892,286474,57085,61.024089,True
h_089,8192,358201,7983,60.50411,True
h_090,16384,353824,15870,60.518024,True
h_091,16384,354031,15818,60.428739,True
h_092,63674,306833,60537,60.83575,True
h_093,32768,363878,31812,60.451722,True
h_094,68946,335845,66617,61.13088,True
h_095,32768,409363,32335,60.503888,True
h_096,34546,421534,25256,61.148526,True
h_097,16384,458925,15777,60.733038,True
h_098,32768,503494,32197,60.572123,True
h_099,97898,447979,89156,61.729547,True
h_100,75879,508837,36226,61.459668,True
h_101,65536,618237,65055,60.755229,True
h_102,265214,418956,9698,61.014108,True
h_103,159316,544621,68906,61.903076,True
h_104,65536,640429,64744,60.740183,True
h_105,65536,652583,65187,60.746263,True
h_106,65536,654158,65284,60.861126,True
h_107,32768,699385,32180,60.909361,True
h_108,65536,688044,65320,60.912406,True
h_109,8192,839576,8108,61.459516,True
h_110,32768,826394,32432,61.114982,True
h_111,77360,828161,69835,62.554599,True
h_112,8192,944523,8126,61.813915,True
h_113,194085,854377,91777,62.601789,True
h_114,187341,865700,172987,63.343373,True
h_115,262111,1234877,237738,63.240801,True
h_116,299580,1363755,274340,65.466152,True
h_117,325729,1469679,132646,62.153059,True
h_118,81306,1768135,70025,63.449149,True
h_119,342573,1619304,323739,66.824011,True
h_120,32768,2049515,32026,64.086194,True
h_121,16384,2076651,16339,64.602398,True
h_122,2048,2097152,2042,68.592147,True
h_123,4096,2097152,4078,70.853921,True
h_124,8192,2097152,8162,72.038542,True
h_125,16384,2097152,16225,69.87157,True
h_126,65536,2048311,65459,62.72643,True
h_127,32768,2128971,32696,63.181399,True
h_128,32768,2130600,32699,63.147065,True
h_129,32768,2148521,32213,70.897794,True
h_130,16384,2192284,16342,64.10318,True
h_131,16384,2194576,16347,63.770107,True
h_132,65536,2184865,65463,63.335399,True
h_133,131072,2130456,130090,62.26628,True
h_134,131072,2131741,130304,62.271786,True
h_135,32768,2235835,32265,63.338453,True
h_136,32768,2240608,32361,63.988165,True
h_137,32768,2241646,32247,63.664735,True
h_138,32768,2270902,32699,63.668865,True
h_139,16384,2293868,16353,64.905494,True
h_140,131072,2199584,130298,63.230344,True
h_141,65536,2321780,65474,62.980234,True
h_142,131072,2294338,130543,62.662578,True
h_143,32768,2412833,32719,63.490373,True
h_144,32768,2416672,32716,64.344643,True
h_145,32768,2416820,32716,63.204469,True
h_146,131072,2322563,130533,62.7116,True
h_147,32768,2422154,32398,64.153935,True
h_148,432535,2038645,406272,66.337005,False
h_149,131072,2340382,130502,63.239763,True
h_150,65536,2456589,65469,63.355696,True
h_151,65536,2457973,65472,63.801321,True
h_152,65536,2458355,65478,62.846666,True
h_153,32768,2554765,32726,63.921244,True
h_154,32768,2556720,32727,63.622843,True
h_155,131072,2459701,130810,62.771637,True
h_156,32768,2558829,32721,63.716126,True
h_157,281903,2312497,261272,64.167079,True
h_158,32768,2614043,32619,64.90131,True
h_159,32768,2621362,32572,64.702926,True
h_160,65536,2593066,65487,63.54826,True
h_161,32768,2684883,32284,76.169836,True
h_162,131072,2587747,131019,63.000316,True
h_163,32768,2696696,32733,64.53745,True
h_164,131072,2620644,130658,63.794673,True
h_165,131072,2622100,130868,63.454937,True
h_166,65536,2728370,65495,63.809569,True
h_167,65536,2731506,65493,63.648146,True
h_168,32768,2794794,32682,64.970492,True
h_169,32768,2808603,32632,65.657425,True
h_170,32768,2838628,32734,64.830727,True
h_171,131072,2741624,130656,63.047594,True
h_172,32768,2840800,32732,64.778826,True
h_173,32768,2843144,32731,65.141159,True
h_174,131072,2754294,130267,63.117225,True
h_175,131072,2757784,130824,63.877246,True
h_176,131072,2777076,130911,63.956336,True
h_177,131072,2784435,130857,64.189241,True
