file,n,m,FVS_size,runtime,validity,kernelization_time,gnn_candidate_time
h_001,1024,2103,52,26.701997,True,0.0,0.0
h_002,1024,3473,51,30.002745,True,0.0,0.0
h_003,1024,3480,47,30.002413,True,0.0,0.0
h_004,1024,3624,82,30.024212,True,0.0,0.0
h_005,843,3995,302,30.020933,True,0.0,0.0
h_006,2048,4096,141,30.020093,True,0.0,0.0
h_007,2048,4096,111,30.01744,True,0.0,0.0
h_008,1024,5222,40,30.027191,True,0.0,0.0
h_009,1024,5231,40,30.028006,True,0.0,0.0
h_010,1024,5471,99,30.023831,True,0.0,0.0
h_011,1024,5480,100,30.026171,True,0.0,0.0
h_012,1024,5487,104,30.023629,True,0.0,0.0
h_013,2048,5216,277,30.016821,True,0.0,0.0
h_014,2048,5219,266,30.016248,True,0.0,0.0
h_015,2048,7005,110,30.017159,True,0.0,0.0
h_016,2048,7307,150,30.01836,True,0.0,0.0
h_017,1024,9737,257,30.024673,True,0.0,0.0
h_018,1974,9003,665,30.017243,True,0.0,0.0
h_019,1024,10284,190,30.028302,True,0.0,0.0
h_020,1024,10743,300,30.021697,True,0.0,0.0
h_021,2048,10573,98,30.018938,True,0.0,0.0
h_022,2048,10584,101,30.023546,True,0.0,0.0
h_023,2048,11098,205,30.026394,True,0.0,0.0
h_024,2650,12400,958,30.023679,True,0.0,0.0
h_025,1024,15102,290,30.030995,True,0.0,0.0
h_026,2048,14725,209,30.028236,True,0.0,0.0
h_027,2048,14738,189,30.029251,True,0.0,0.0
h_028,3588,16698,1284,30.018877,True,0.0,0.0
h_029,1024,19861,372,30.035159,True,0.0,0.0
h_030,2048,18851,303,30.029208,True,0.0,0.0
h_031,2048,18876,333,30.030084,True,0.0,0.0
h_032,2048,20942,314,30.038212,True,0.0,0.0
h_033,6301,20777,286,30.035864,True,0.0,0.0
h_034,4983,22602,2483,30.034213,True,0.0,0.0
h_035,8192,30498,5946,30.04156,True,0.0,0.0
h_036,8192,30671,5904,30.02981,True,0.0,0.0
h_037,8192,30814,5849,30.033769,True,0.0,0.0
h_038,10876,39994,1849,30.066284,True,0.0,0.0
h_039,9473,43691,7710,30.068984,True,0.0,0.0
h_040,8192,45091,6370,30.051674,True,0.0,0.0
h_041,8192,45139,6376,30.0464,True,0.0,0.0
h_042,8192,45262,6336,30.06379,True,0.0,0.0
h_043,8192,50901,6422,30.056244,True,0.0,0.0
h_044,8192,51806,6633,30.063303,True,0.0,0.0
h_045,8192,54189,6495,30.06221,True,0.0,0.0
h_046,8192,54350,6388,30.076919,True,0.0,0.0
h_047,8192,54807,6352,30.071359,True,0.0,0.0
h_048,8192,54891,6442,30.072073,True,0.0,0.0
h_049,8192,57468,6549,30.059487,True,0.0,0.0
h_050,22687,54705,2234,30.092415,True,0.0,0.0
h_051,8192,71995,6653,30.08235,True,0.0,0.0
h_052,8192,72700,6746,30.084443,True,0.0,0.0
h_053,8192,73399,6742,30.092702,True,0.0,0.0
h_054,14882,67834,12851,30.164899,True,0.0,0.0
h_055,15268,74339,13743,30.186523,True,0.0,0.0
h_056,8192,82550,6333,30.099996,True,0.0,0.0
h_057,8192,83083,6538,30.098155,True,0.0,0.0
h_058,8192,92304,7400,30.124469,True,0.0,0.0
h_059,7115,103689,921,30.205593,True,0.0,0.0
h_060,8192,110532,6628,30.131201,True,0.0,0.0
h_061,8192,112798,6465,30.154931,True,0.0,0.0
h_062,16384,104900,14776,30.114405,True,0.0,0.0
h_063,36682,88328,5811,30.149587,True,0.0,0.0
h_064,23131,107151,20848,30.303128,True,0.0,0.0
h_065,26475,106762,15961,30.223126,True,0.0,0.0
