solver,mean_score,instance_count
directed_DKMA_heuristic_15,75.8974,200
directed_DKMA_heuristic_30,76.4942,200
directed_GNN-KMA-2_heuristic_30,76.853,200
directed_GNN-KMA-3_0.50_heuristic_30,77.5645,200
directed_GNN-KMA-3_0.65_heuristic_30,78.3435,200
directed_GNN-KMA-3_0.70_heuristic_30,78.6449,200
directed_GNN-KMA-3_0.80_heuristic_30,77.7648,200
directed_GNN-KMA-3_0.85_heuristic_30,78.6449,200
directed_GNN-KMA-3_0.85_heuristic_60,79.1917,200
directed_GNN-KMA-3_0.90_heuristic_30,78.2237,200
directed_GNN-KMA-3_0.95_heuristic_30,77.751,200
directed_GNN-KMA-3_big_0.70_heuristic_30,77.3285,200
directed_GNN-KMA-3_big_0.70_heuristic_60,78.8856,200
directed_GNN-KMA-3_big_0.85_heuristic_30,76.8204,200
directed_GNN-KMA-3_big_0.85_heuristic_60,79.4874,200
directed_GNN-KMA-3_small_0.9_heuristic_30,76.2655,200
directed_GNN-KMA_heuristic_30,76.9814,200
directed_KMA_heuristic_15,75.6944,200
directed_KMA_heuristic_30,76.3657,200
directed_KMA_heuristic_60,78.0611,200
directed_KMA_heuristic_90,78.9312,200
directed_MA_heuristic_30,68.642,200
directed_MA_heuristic_60,70.6738,200
directed_MA_heuristic_90,71.8443,200
pace2022_winner,100.0,200
