instance_id,algorithm,status,wall_time_sec,cpu_time_sec,peak_memory_mb,fvs_size,timestamp
realworld_bull,IC,COMPLETED,0.007325,0.007467,0.053,2,2026-03-24T08:16:00.579543
realworld_bull,KBST,COMPLETED,0.008164,0.003757,0.020,1,2026-03-24T08:16:00.589868
realworld_bull,MEMETIC,COMPLETED,3.395621,3.233131,0.152,1,2026-03-24T08:16:03.987910
ER_n10_p0.1_seed1,IC,COMPLETED,0.014043,0.010631,0.008,0,2026-03-24T08:16:04.010425
ER_n10_p0.1_seed1,KBST,COMPLETED,0.004436,0.002789,0.000,0,2026-03-24T08:16:04.020886
ER_n10_p0.1_seed1,MEMETIC,COMPLETED,6.502541,6.369802,0.233,0,2026-03-24T08:16:10.527860
Tree_random_n10,IC,COMPLETED,0.012810,0.012573,0.000,0,2026-03-24T08:16:10.543129
Tree_random_n10,KBST,COMPLETED,0.002914,0.003124,0.012,0,2026-03-24T08:16:10.548979
Tree_random_n10,MEMETIC,COMPLETED,6.395443,6.289216,0.205,0,2026-03-24T08:16:16.949729
Tree_star_n10,IC,COMPLETED,0.012516,0.010904,0.012,0,2026-03-24T08:16:16.966936
Tree_star_n10,KBST,COMPLETED,0.003839,0.002346,0.000,0,2026-03-24T08:16:16.975712
Tree_star_n10,MEMETIC,COMPLETED,4.851984,4.841912,0.201,0,2026-03-24T08:16:21.832122
Grid_3x3,IC,COMPLETED,0.001920,0.002017,0.000,4,2026-03-24T08:16:21.835905
Grid_3x3,KBST,COMPLETED,0.002234,0.002282,0.008,3,2026-03-24T08:16:21.839891
Grid_3x3,MEMETIC,COMPLETED,7.269069,7.261648,0.233,2,2026-03-24T08:16:29.110820
ER_n10_p0.3_seed1,IC,COMPLETED,0.010103,0.009003,0.000,5,2026-03-24T08:16:29.126606
ER_n10_p0.3_seed1,KBST,COMPLETED,0.006135,0.004701,0.020,2,2026-03-24T08:16:29.135809
ER_n10_p0.3_seed1,MEMETIC,COMPLETED,7.121893,7.049390,0.049,2,2026-03-24T08:16:36.260610
realworld_petersen,IC,COMPLETED,0.006511,0.006550,0.000,3,2026-03-24T08:16:36.272585
realworld_petersen,KBST,COMPLETED,0.006855,0.005924,0.000,3,2026-03-24T08:16:36.281759
realworld_petersen,MEMETIC,COMPLETED,8.518252,8.062855,0.000,3,2026-03-24T08:16:44.802689
BA_n10_m2_seed1,IC,COMPLETED,0.004740,0.004813,0.000,4,2026-03-24T08:16:44.810400
BA_n10_m2_seed1,KBST,COMPLETED,0.005730,0.005850,0.000,2,2026-03-24T08:16:44.818835
BA_n10_m2_seed1,MEMETIC,COMPLETED,4.909527,4.901186,0.004,2,2026-03-24T08:16:49.730266
Tree_binary_n10,IC,COMPLETED,0.008885,0.008473,0.008,0,2026-03-24T08:16:49.741182
Tree_binary_n10,KBST,COMPLETED,0.003047,0.003146,0.000,0,2026-03-24T08:16:49.746471
Tree_binary_n10,MEMETIC,COMPLETED,7.236236,7.219879,0.070,0,2026-03-24T08:16:56.984720
BA_n10_m3_seed1,IC,COMPLETED,0.000827,0.000875,0.000,10,2026-03-24T08:16:56.986955
BA_n10_m3_seed1,KBST,COMPLETED,0.000613,0.000614,0.000,10,2026-03-24T08:16:56.988615
BA_n10_m3_seed1,MEMETIC,COMPLETED,4.590931,4.578736,0.000,3,2026-03-24T08:17:01.580715
ER_n10_p0.5_seed1,IC,COMPLETED,0.001173,0.001248,0.000,10,2026-03-24T08:17:01.585741
ER_n10_p0.5_seed1,KBST,COMPLETED,0.000885,0.000840,0.000,10,2026-03-24T08:17:01.588146
ER_n10_p0.5_seed1,MEMETIC,COMPLETED,5.933214,5.865286,0.020,4,2026-03-24T08:17:07.523024
BA_n10_m5_seed1,IC,COMPLETED,0.001372,0.001371,0.000,10,2026-03-24T08:17:07.528169
BA_n10_m5_seed1,KBST,COMPLETED,0.001568,0.001291,0.000,10,2026-03-24T08:17:07.535591
BA_n10_m5_seed1,MEMETIC,COMPLETED,6.294742,6.177836,0.000,4,2026-03-24T08:17:13.837022
ER_n10_p0.7_seed1,IC,COMPLETED,0.001220,0.001333,0.000,10,2026-03-24T08:17:13.839916
ER_n10_p0.7_seed1,KBST,COMPLETED,0.000746,0.000809,0.000,10,2026-03-24T08:17:13.842039
ER_n10_p0.7_seed1,MEMETIC,COMPLETED,4.858747,4.839478,0.012,5,2026-03-24T08:17:18.705732
Tree_random_n20,IC,COMPLETED,0.036118,0.031576,0.025,0,2026-03-24T08:17:18.748828
Tree_random_n20,KBST,COMPLETED,0.006908,0.006842,0.000,0,2026-03-24T08:17:18.758499
Tree_random_n20,MEMETIC,COMPLETED,13.514555,13.480974,0.143,0,2026-03-24T08:17:32.278819
Tree_star_n20,IC,COMPLETED,0.068408,0.032530,0.000,0,2026-03-24T08:17:32.353108
Tree_star_n20,KBST,COMPLETED,0.012105,0.008309,0.000,0,2026-03-24T08:17:32.391035
Tree_star_n20,MEMETIC,COMPLETED,11.331546,11.281196,0.102,0,2026-03-24T08:17:43.758370
ER_n20_p0.1_seed1,IC,COMPLETED,0.021878,0.022061,0.000,5,2026-03-24T08:17:43.782543
ER_n20_p0.1_seed1,KBST,COMPLETED,0.009666,0.008889,0.012,3,2026-03-24T08:17:43.794591
ER_n20_p0.1_seed1,MEMETIC,COMPLETED,12.002631,11.881437,0.147,2,2026-03-24T08:17:55.800753
ER_n10_p0.9_seed1,IC,COMPLETED,0.001223,0.001289,0.000,10,2026-03-24T08:17:55.804814
ER_n10_p0.9_seed1,KBST,COMPLETED,0.000826,0.000825,0.000,10,2026-03-24T08:17:55.807513
ER_n10_p0.9_seed1,MEMETIC,COMPLETED,5.257555,5.246967,0.000,7,2026-03-24T08:18:01.066856
BA_n20_m2_seed1,IC,COMPLETED,0.005411,0.005537,0.000,4,2026-03-24T08:18:01.074824
BA_n20_m2_seed1,KBST,COMPLETED,0.020249,0.020078,0.000,3,2026-03-24T08:18:01.096594
BA_n20_m2_seed1,MEMETIC,COMPLETED,12.296954,12.266324,0.004,3,2026-03-24T08:18:13.395501
WS_n20_k4_b01_seed1,IC,COMPLETED,0.001519,0.001612,0.000,20,2026-03-24T08:18:13.399063
WS_n20_k4_b01_seed1,KBST,COMPLETED,0.001288,0.001356,0.000,20,2026-03-24T08:18:13.402640
WS_n20_k4_b01_seed1,MEMETIC,COMPLETED,12.977401,12.917916,0.000,7,2026-03-24T08:18:26.381907
WS_n20_k4_b03_seed1,IC,COMPLETED,0.001307,0.001437,0.000,20,2026-03-24T08:18:26.386522
WS_n20_k4_b03_seed1,KBST,COMPLETED,0.000715,0.000787,0.000,20,2026-03-24T08:18:26.389156
WS_n20_k4_b03_seed1,MEMETIC,COMPLETED,12.970905,12.943234,0.000,6,2026-03-24T08:18:39.361597
WS_n20_k4_b05_seed1,IC,COMPLETED,0.002022,0.002025,0.000,20,2026-03-24T08:18:39.367010
WS_n20_k4_b05_seed1,KBST,COMPLETED,0.001045,0.001190,0.000,20,2026-03-24T08:18:39.370102
