file,n,m,FVS_size,runtime,validity
dag_000000.txt,10,9,0,0.000337,True
dag_000001.txt,35,34,0,0.000671,True
dag_000002.txt,15,14,0,0.000157,True
dag_000003.txt,14,13,0,0.000216,True
dag_000004.txt,33,32,0,0.000549,True
dag_000005.txt,30,29,0,0.000475,True
dag_000006.txt,20,19,0,0.00034,True
dgrid_000000.txt,36,60,2,0.001476,True
dgrid_000001.txt,25,40,1,0.000664,True
dgrid_000002.txt,25,44,3,0.001174,True
dgrid_000003.txt,9,12,1,0.000418,True
dgrid_000004.txt,16,25,1,0.000396,True
dgrid_000005.txt,9,14,2,0.000533,True
dgrid_000006.txt,9,12,0,0.000856,True
er_000000.txt,25,225,TIMEOUT,100,TIMEOUT
er_000001.txt,19,78,7,0.093566,True
er_000002.txt,30,272,TIMEOUT,100,TIMEOUT
er_000003.txt,22,66,5,0.019464,True
er_000004.txt,17,76,6,0.026608,True
er_000005.txt,13,37,4,0.001994,True
er_000006.txt,14,21,2,0.000356,True
er_000007.txt,20,144,11,11.519045,True
er_000008.txt,29,244,TIMEOUT,100,TIMEOUT
er_000009.txt,23,144,11,15.798516,True
ego_000000.txt,18,18,0,0.000254,True
ego_000001.txt,21,20,0,0.000266,True
ego_000002.txt,19,19,0,0.000338,True
ego_000003.txt,13,13,0,0.000203,True
ego_000004.txt,19,19,0,0.000351,True
ego_000005.txt,12,12,0,0.000228,True
ego_000006.txt,23,23,0,0.00039,True
ego_000007.txt,24,24,0,0.000301,True
ego_000008.txt,18,18,0,0.000313,True
ego_000009.txt,26,26,0,0.000431,True
ego_000010.txt,23,23,0,0.000329,True
ego_000011.txt,21,21,0,0.000334,True
ego_000012.txt,17,17,0,0.00027,True
ego_000013.txt,28,28,0,0.000306,True
ego_000014.txt,18,18,0,0.000275,True
scale_free_000000.txt,15,21,1,0.000289,True
scale_free_000001.txt,20,21,1,0.000385,True
scale_free_000002.txt,21,28,2,0.000479,True
scale_free_000003.txt,28,37,2,0.000645,True
scale_free_000004.txt,20,32,1,0.000526,True
scale_free_000005.txt,17,19,1,0.000438,True
scale_free_000006.txt,29,48,2,0.000663,True
scale_free_000007.txt,34,50,1,0.000576,True
scale_free_000008.txt,18,23,1,0.000407,True
scale_free_000009.txt,26,45,1,0.000495,True
dag_000007.txt,1766,1765,0,0.010531,True
dgrid_000007.txt,462,918,TIMEOUT,600,TIMEOUT
