file,n,m,FVS_size,runtime,validity
h_001,1024,2103,55,16.217764,True
h_002,1024,3473,39,18.345612,True
h_003,1024,3480,42,15.586898,True
h_004,1024,3624,59,23.111024,True
h_005,843,3995,293,111.420138,True
h_006,2048,4096,111,26.463239,True
h_007,2048,4096,94,21.693311,True
h_008,1024,5222,35,21.925779,True
h_009,1024,5231,38,22.911134,True
h_010,1024,5471,73,41.108423,True
h_011,1024,5480,84,35.825355,True
h_012,1024,5487,84,39.076748,True
h_013,2048,5216,216,64.621377,True
h_014,2048,5219,203,109.582402,True
h_015,2048,7005,79,47.181559,True
h_016,2048,7307,108,75.346593,True
h_017,1024,9737,233,251.74415,True
h_018,1974,9003,ERROR,ERROR,False
h_019,1024,10284,148,173.508412,True
h_020,1024,10743,244,216.6624,True
h_021,2048,10573,69,43.444821,True
h_022,2048,10584,64,65.531209,True
h_023,2048,11098,147,159.103858,True
h_024,2650,12400,ERROR,ERROR,False
h_025,1024,15102,232,349.984992,True
h_026,2048,14725,151,296.172656,True
