file,n,m,FVS_size,runtime,validity
dag_000000.txt,10,9,0,0.00055,True
dag_000001.txt,35,34,0,0.002092,True
dag_000002.txt,15,14,0,0.000758,True
dag_000003.txt,14,13,0,0.000649,True
dag_000004.txt,33,32,0,0.002362,True
dag_000005.txt,30,29,0,0.002032,True
dag_000006.txt,20,19,0,0.00112,True
dgrid_000000.txt,36,60,2,0.004466,True
dgrid_000001.txt,25,40,1,0.002914,True
dgrid_000002.txt,25,44,3,0.002688,True
dgrid_000003.txt,9,12,1,0.000559,True
dgrid_000004.txt,16,25,1,0.000733,True
dgrid_000005.txt,9,14,2,0.000925,True
dgrid_000006.txt,9,12,0,0.00059,True
er_000000.txt,25,225,14,3.971781,True
er_000001.txt,19,78,7,0.098078,True
er_000002.txt,30,272,18,92.482594,True
er_000003.txt,22,66,5,0.027786,True
er_000004.txt,17,76,6,0.0185,True
er_000005.txt,13,37,4,0.00165,True
er_000006.txt,14,21,2,0.000738,True
er_000007.txt,20,144,11,0.768955,True
er_000008.txt,29,244,17,45.029467,True
er_000009.txt,23,144,11,1.320622,True
ego_000000.txt,18,18,0,0.001688,True
ego_000001.txt,21,20,0,0.001312,True
ego_000002.txt,19,19,0,0.00085,True
ego_000003.txt,13,13,0,0.000599,True
ego_000004.txt,19,19,0,0.001241,True
ego_000005.txt,12,12,0,0.000809,True
ego_000006.txt,23,23,0,0.001663,True
ego_000007.txt,24,24,0,0.001724,True
ego_000008.txt,18,18,0,0.001245,True
ego_000009.txt,26,26,0,0.001738,True
ego_000010.txt,23,23,0,0.001727,True
ego_000011.txt,21,21,0,0.001324,True
ego_000012.txt,17,17,0,0.001175,True
ego_000013.txt,28,28,0,0.001912,True
ego_000014.txt,18,18,0,0.001037,True
scale_free_000000.txt,15,21,1,0.001215,True
scale_free_000001.txt,20,21,1,0.001207,True
scale_free_000002.txt,21,28,2,0.001382,True
scale_free_000003.txt,28,37,2,0.001888,True
scale_free_000004.txt,20,32,1,0.001014,True
scale_free_000005.txt,17,19,1,0.001196,True
scale_free_000006.txt,29,48,2,0.003355,True
scale_free_000007.txt,34,50,1,0.003582,True
scale_free_000008.txt,18,23,1,0.001184,True
scale_free_000009.txt,26,45,1,0.002938,True
dag_000007.txt,1766,1765,0,1.40955,True
dgrid_000007.txt,462,918,61,3.73653,True
