file,n,m,FVS_size,runtime,validity
dag_000000.txt,10,9,0,7.5e-05,True
dag_000001.txt,35,34,0,0.000182,True
dag_000002.txt,15,14,0,7e-05,True
dag_000003.txt,14,13,0,6.7e-05,True
dag_000004.txt,33,32,0,0.000122,True
dag_000005.txt,30,29,0,0.000114,True
dag_000006.txt,20,19,0,8.3e-05,True
dgrid_000000.txt,36,60,2,0.01448,True
dgrid_000001.txt,25,40,1,0.000205,True
dgrid_000002.txt,25,44,3,0.078551,True
dgrid_000003.txt,9,12,1,0.000136,True
dgrid_000004.txt,16,25,1,0.000195,True
dgrid_000005.txt,9,14,2,0.000851,True
dgrid_000006.txt,9,12,0,9.7e-05,True
ego_000000.txt,18,18,0,7.9e-05,True
ego_000001.txt,21,20,0,8.3e-05,True
ego_000002.txt,19,19,0,7.9e-05,True
ego_000003.txt,13,13,0,6.1e-05,True
ego_000004.txt,19,19,0,7.4e-05,True
ego_000005.txt,12,12,0,9.1e-05,True
ego_000006.txt,23,23,0,8.6e-05,True
ego_000007.txt,24,24,0,9e-05,True
ego_000008.txt,18,18,0,7.3e-05,True
ego_000009.txt,26,26,0,0.000123,True
ego_000010.txt,23,23,0,9.7e-05,True
ego_000011.txt,21,21,0,0.000115,True
ego_000012.txt,17,17,0,6.9e-05,True
ego_000013.txt,28,28,0,9.9e-05,True
ego_000014.txt,18,18,0,7.1e-05,True
er_000000.txt,25,225,TIMEOUT,10.000113,TIMEOUT
er_000001.txt,19,78,7,2.46359,True
er_000002.txt,30,272,TIMEOUT,10.000045,TIMEOUT
er_000003.txt,22,66,5,0.836665,True
er_000004.txt,17,76,6,0.377927,True
er_000005.txt,13,37,4,0.059428,True
er_000006.txt,14,21,2,0.000724,True
er_000007.txt,20,144,TIMEOUT,10.000015,TIMEOUT
er_000008.txt,29,244,TIMEOUT,10.000054,TIMEOUT
er_000009.txt,23,144,TIMEOUT,10.000058,TIMEOUT
scale_free_000000.txt,15,21,1,0.000354,True
scale_free_000001.txt,20,21,1,0.000128,True
scale_free_000002.txt,21,28,2,0.001139,True
scale_free_000003.txt,28,37,2,0.002107,True
scale_free_000004.txt,20,32,1,0.00071,True
scale_free_000005.txt,17,19,1,0.000161,True
scale_free_000006.txt,29,48,2,0.003195,True
scale_free_000007.txt,34,50,1,0.001269,True
scale_free_000008.txt,18,23,1,0.000123,True
scale_free_000009.txt,26,45,1,0.000274,True
