experiment_id,instance_id,graph_type,n_vertices,n_edges,graph_density,algorithm,run_number,fvs_size,optimal_fvs_size,approximation_ratio,optimality_gap_pct,wall_time_sec,cpu_time_sec,peak_memory_mb,is_valid_solution,notes,timestamp
EXP1,realworld_bull,realworld,5,5,0.500000,IC,1,1,,,,0.002542,0.002105,0.020,True,,2026-03-24T12:37:25.377837
EXP1,realworld_bull,realworld,5,5,0.500000,KBST,1,1,,,,0.000892,0.000370,0.004,True,,2026-03-24T12:37:25.379360
EXP1,realworld_bull,realworld,5,5,0.500000,MEMETIC,1,1,,,,0.562355,0.561384,0.049,True,,2026-03-24T12:37:25.942570
EXP2,realworld_bull,realworld,5,5,0.500000,IC,1,1,,,,0.002080,0.001676,0.000,True,,2026-03-24T12:37:25.945871
EXP2,realworld_bull,realworld,5,5,0.500000,KBST,1,1,,,,0.000803,0.000790,0.000,True,,2026-03-24T12:37:25.947452
EXP2,realworld_bull,realworld,5,5,0.500000,MEMETIC,1,1,,,,1.301023,1.299704,0.070,True,,2026-03-24T12:37:27.249339
EXP3,realworld_bull,realworld,5,5,0.500000,IC,1,1,,,,0.002130,0.001364,0.000,True,,2026-03-24T12:37:27.275238
EXP3,realworld_bull,realworld,5,5,0.500000,KBST,1,1,,,,0.000684,0.000526,0.000,True,,2026-03-24T12:37:27.276463
EXP3,realworld_bull,realworld,5,5,0.500000,MEMETIC,1,1,,,,1.382859,1.381245,0.025,True,,2026-03-24T12:37:28.660075
EXP8,realworld_bull,realworld,5,5,0.500000,BRUTE_FORCE,1,1,1,1.0,0.0,0.001466,0.001148,0.057,True,Ground truth,2026-03-24T12:37:28.666655
EXP8,realworld_bull,realworld,5,5,0.500000,IC,1,1,1,1.0,0.0,0.002189,0.002159,0.004,True,,2026-03-24T12:37:28.669373
EXP8,realworld_bull,realworld,5,5,0.500000,KBST,1,1,1,1.0,0.0,0.000785,0.000429,0.000,True,,2026-03-24T12:37:28.670646
EXP8,realworld_bull,realworld,5,5,0.500000,MEMETIC,1,1,1,1.0,0.0,0.565869,0.565157,0.008,True,,2026-03-24T12:37:29.237192
EXP9,realworld_bull,realworld,5,5,0.500000,IC,1,1,,,,0.002033,0.001195,0.000,True,"density=0.5000, avg_deg=2.00",2026-03-24T12:37:29.240251
EXP9,realworld_bull,realworld,5,5,0.500000,KBST,1,1,,,,0.000993,0.000539,0.000,True,"density=0.5000, avg_deg=2.00",2026-03-24T12:37:29.241797
EXP9,realworld_bull,realworld,5,5,0.500000,MEMETIC,1,1,,,,1.337733,1.336357,0.045,True,"density=0.5000, avg_deg=2.00",2026-03-24T12:37:30.580327
EXP1,Grid_3x3,Grid,9,12,0.333333,IC,1,3,,,,0.002895,0.002839,0.008,True,,2026-03-24T12:37:30.584468
EXP1,Grid_3x3,Grid,9,12,0.333333,KBST,1,3,,,,0.001028,0.000340,0.000,True,,2026-03-24T12:37:30.586245
EXP1,Grid_3x3,Grid,9,12,0.333333,MEMETIC,1,9,,,,2.197203,2.195480,0.229,True,,2026-03-24T12:37:32.784218
EXP2,Grid_3x3,Grid,9,12,0.333333,IC,1,3,,,,0.002870,0.002023,0.008,True,,2026-03-24T12:37:32.788285
EXP2,Grid_3x3,Grid,9,12,0.333333,KBST,1,3,,,,0.001308,0.000503,0.004,True,,2026-03-24T12:37:32.790156
EXP2,Grid_3x3,Grid,9,12,0.333333,MEMETIC,1,9,,,,5.529249,5.526065,0.102,True,,2026-03-24T12:37:38.319998
EXP3,Grid_3x3,Grid,9,12,0.333333,IC,1,3,,,,0.002938,0.002924,0.000,True,,2026-03-24T12:37:38.333413
EXP3,Grid_3x3,Grid,9,12,0.333333,KBST,1,3,,,,0.001379,0.000443,0.000,True,,2026-03-24T12:37:38.335472
EXP3,Grid_3x3,Grid,9,12,0.333333,MEMETIC,1,9,,,,5.586546,5.583224,0.225,True,,2026-03-24T12:37:43.922600
