file,n,m,FVS_size,runtime,validity,IC result,BST result,IC match?,BST match?
grid_000000.txt,20,31,5,0.359717,True,5,N/A,True,N/A
grid_000002.txt,20,31,5,0.320691,True,5,N/A,True,N/A
grid_000004.txt,15,22,3,0.011393,True,3,N/A,True,N/A
grid_000006.txt,12,17,3,0.002469,True,3,N/A,True,N/A
grid_000008.txt,20,31,5,0.33628,True,5,N/A,True,N/A
tree_000001.txt,34,33,0,0.000186,True,0,N/A,True,N/A
tree_000003.txt,20,19,0,9.7e-05,True,0,N/A,True,N/A
tree_000005.txt,26,25,0,0.000109,True,0,N/A,True,N/A
tree_000007.txt,20,19,0,0.000102,True,0,N/A,True,N/A
tree_000009.txt,32,31,0,0.000171,True,0,N/A,True,N/A
er_000000.txt,13,13,2,0.000677,True,2,N/A,True,N/A
er_000001.txt,27,48,6,3.448683,True,6,N/A,True,N/A
real_000000.txt,23,24,2,0.005628,True,137,N/A,False,N/A
