file,n,m,FVS_size,runtime,validity
grid_000000.txt,20,31,5,0.02602,True
grid_000002.txt,20,31,5,0.01167,True
grid_000004.txt,15,22,3,0.000645,True
grid_000006.txt,12,17,3,0.000487,True
grid_000008.txt,20,31,5,0.007244,True
tree_000001.txt,34,33,0,0.001099,True
tree_000003.txt,20,19,0,0.000196,True
tree_000005.txt,26,25,0,0.000426,True
tree_000007.txt,20,19,0,0.000234,True
tree_000009.txt,32,31,0,0.000969,True
er_000000.txt,13,13,2,0.000346,True
er_000001.txt,27,48,6,0.101596,True
er_000002.txt,27,127,TIMEOUT,100,TIMEOUT
er_000003.txt,27,101,TIMEOUT,100,TIMEOUT
er_000004.txt,11,20,3,0.000687,True
er_000005.txt,17,26,3,0.000725,True
er_000006.txt,23,48,7,0.061104,True
er_000007.txt,25,56,7,0.49688,True
er_000008.txt,10,18,3,0.000515,True
er_000009.txt,10,15,2,0.000363,True
real_000000.txt,23,24,2,0.000464,True
real_000001.txt,27,29,2,0.000428,True
real_000002.txt,25,27,1,0.000411,True
real_000003.txt,25,27,2,0.000564,True
real_000004.txt,14,14,1,0.000264,True
real_000005.txt,17,18,1,0.000319,True
real_000006.txt,27,29,2,0.000418,True
real_000007.txt,12,12,1,0.000253,True
real_000008.txt,12,12,1,0.000227,True
real_000009.txt,22,23,1,0.000411,True
ba_000000.txt,15,36,4,0.001668,True
ba_000001.txt,34,64,6,0.025009,True
ba_000002.txt,18,32,2,0.000538,True
ba_000003.txt,32,87,9,3.691497,True
ba_000004.txt,24,63,8,2.612946,True
ba_000005.txt,23,60,5,0.03097,True
ba_000006.txt,23,42,4,0.003819,True
ba_000007.txt,33,90,8,1.738212,True
ba_000008.txt,24,63,6,0.054486,True
ba_000009.txt,25,66,6,0.072147,True
ws_000000.txt,30,60,10,1.52385,True
ws_000001.txt,32,64,11,10.002633,True
ws_000002.txt,21,42,8,0.199409,True
ws_000003.txt,27,54,9,6.345984,True
ws_000004.txt,35,70,TIMEOUT,100,TIMEOUT
ws_000005.txt,20,40,7,0.106105,True
ws_000006.txt,16,32,6,0.012225,True
ws_000007.txt,30,60,10,4.942498,True
ws_000008.txt,26,52,10,17.325733,True
ws_000009.txt,19,38,7,0.037088,True
