file,n,m,FVS_size,runtime,validity
grid_000000.txt,25,40,6,0.077381,True
grid_000002.txt,20,31,5,0.016396,True
grid_000004.txt,15,22,3,0.002928,True
grid_000006.txt,20,31,5,0.01107,True
grid_000008.txt,20,31,5,0.011409,True
tree_000001.txt,17,16,0,0.000727,True
tree_000003.txt,31,30,0,0.001838,True
tree_000005.txt,30,29,0,0.001595,True
tree_000007.txt,16,15,0,0.000822,True
tree_000009.txt,35,34,0,0.003669,True
er_000000.txt,23,85,10,2.87181,True
er_000001.txt,19,70,9,0.246297,True
er_000002.txt,18,46,7,0.044628,True
er_000003.txt,30,178,TIMEOUT,100,TIMEOUT
er_000004.txt,23,90,12,20.003856,True
er_000005.txt,20,55,8,0.111924,True
