file,n,m,FVS_size,runtime,validity
grid_000000.txt,25,40,6,0.025437,True
grid_000002.txt,20,31,5,0.003745,True
grid_000004.txt,15,22,3,0.001183,True
grid_000006.txt,20,31,5,0.004359,True
grid_000008.txt,20,31,5,0.00447,True
grid_000010.txt,18,27,4,0.001717,True
grid_000012.txt,15,22,3,0.001231,True
grid_000014.txt,16,24,4,0.001355,True
grid_000016.txt,16,24,4,0.001345,True
grid_000018.txt,15,22,3,0.0012,True
grid_000020.txt,12,17,3,0.000442,True
grid_000022.txt,15,22,3,0.000637,True
grid_000024.txt,15,22,3,0.001199,True
grid_000026.txt,20,31,5,0.004446,True
grid_000028.txt,12,17,3,0.000641,True
grid_000030.txt,18,27,4,0.001746,True
grid_000032.txt,12,17,3,0.000639,True
grid_000034.txt,18,27,4,0.001823,True
grid_000036.txt,20,31,5,0.004723,True
grid_000038.txt,25,40,6,0.026093,True
grid_000040.txt,30,49,8,0.286113,True
grid_000042.txt,16,24,4,0.001443,True
grid_000044.txt,15,22,3,0.001591,True
grid_000046.txt,20,31,5,0.004577,True
grid_000048.txt,12,17,3,0.000796,True
grid_000050.txt,24,38,6,0.020623,True
grid_000052.txt,25,40,6,0.025645,True
grid_000054.txt,18,27,4,0.001767,True
grid_000056.txt,30,49,8,0.290597,True
grid_000058.txt,16,24,4,0.001329,True
grid_000060.txt,15,22,3,0.00155,True
grid_000062.txt,24,38,6,0.020258,True
grid_000064.txt,30,49,8,0.290535,True
grid_000066.txt,15,22,3,0.001216,True
grid_000068.txt,18,27,4,0.00179,True
grid_000070.txt,30,49,8,0.315362,True
grid_000072.txt,15,22,3,0.001619,True
grid_000074.txt,12,17,3,0.000749,True
grid_000076.txt,20,31,5,0.009889,True
grid_000078.txt,12,17,3,0.000873,True
grid_000080.txt,24,38,6,0.02678,True
grid_000082.txt,16,24,4,0.002968,True
grid_000084.txt,20,31,5,0.006515,True
grid_000086.txt,12,17,3,0.001194,True
grid_000088.txt,9,12,2,0.000486,True
grid_000090.txt,30,49,8,0.31824,True
grid_000092.txt,25,40,6,0.025619,True
grid_000094.txt,12,17,3,0.000699,True
grid_000096.txt,15,22,3,0.001522,True
grid_000098.txt,12,17,3,0.000752,True
grid_000100.txt,12,17,3,0.000728,True
grid_000102.txt,30,49,8,0.289524,True
grid_000104.txt,20,31,5,0.003777,True
grid_000106.txt,24,38,6,0.021462,True
grid_000108.txt,20,31,5,0.003736,True
grid_000110.txt,15,22,3,0.001738,True
grid_000112.txt,15,22,3,0.001577,True
grid_000114.txt,20,31,5,0.0043,True
grid_000116.txt,15,22,3,0.001205,True
grid_000118.txt,24,38,6,0.021386,True
grid_000120.txt,18,27,4,0.001727,True
grid_000122.txt,18,27,4,0.001796,True
grid_000124.txt,30,49,8,0.296788,True
grid_000126.txt,24,38,6,0.020684,True
grid_000128.txt,9,12,2,0.000485,True
grid_000130.txt,30,49,8,0.292989,True
grid_000132.txt,25,40,6,0.026754,True
grid_000134.txt,25,40,6,0.026022,True
grid_000136.txt,15,22,3,0.001424,True
grid_000138.txt,24,38,6,0.020312,True
grid_000140.txt,15,22,3,0.001697,True
grid_000142.txt,20,31,5,0.003773,True
grid_000144.txt,12,17,3,0.001037,True
grid_000146.txt,18,27,4,0.001709,True
grid_000148.txt,24,38,6,0.021694,True
grid_000150.txt,30,49,8,0.298036,True
grid_000152.txt,9,12,2,0.000571,True
grid_000154.txt,12,17,3,0.000619,True
grid_000156.txt,12,17,3,0.000714,True
grid_000158.txt,18,27,4,0.001767,True
grid_000160.txt,15,22,3,0.001097,True
grid_000162.txt,24,38,6,0.02255,True
grid_000164.txt,15,22,3,0.001247,True
grid_000166.txt,25,40,6,0.0278,True
grid_000168.txt,20,31,5,0.004278,True
grid_000170.txt,12,17,3,0.000613,True
grid_000172.txt,24,38,6,0.022817,True
grid_000174.txt,30,49,8,0.288299,True
grid_000176.txt,9,12,2,0.00052,True
grid_000178.txt,9,12,2,0.000491,True
grid_000180.txt,18,27,4,0.001685,True
grid_000182.txt,9,12,2,0.000474,True
grid_000184.txt,20,31,5,0.003795,True
grid_000186.txt,12,17,3,0.00064,True
grid_000188.txt,30,49,8,0.294962,True
grid_000190.txt,9,12,2,0.000545,True
grid_000192.txt,16,24,4,0.001367,True
grid_000194.txt,12,17,3,0.000811,True
grid_000196.txt,16,24,4,0.001373,True
grid_000198.txt,18,27,4,0.001758,True
grid_000200.txt,25,40,6,0.026321,True
grid_000202.txt,25,40,6,0.028588,True
grid_000204.txt,18,27,4,0.002173,True
grid_000206.txt,20,31,5,0.003916,True
grid_000208.txt,30,49,8,0.297363,True
grid_000210.txt,25,40,6,0.026791,True
grid_000212.txt,15,22,3,0.00112,True
grid_000214.txt,24,38,6,0.027149,True
grid_000216.txt,18,27,4,0.001875,True
grid_000218.txt,30,49,8,0.315687,True
grid_000220.txt,12,17,3,0.000807,True
grid_000222.txt,25,40,6,0.02603,True
grid_000224.txt,9,12,2,0.00049,True
grid_000226.txt,24,38,6,0.020476,True
grid_000228.txt,12,17,3,0.000648,True
grid_000230.txt,18,27,4,0.002082,True
grid_000232.txt,15,22,3,0.001277,True
grid_000234.txt,24,38,6,0.020212,True
grid_000236.txt,15,22,3,0.001073,True
grid_000238.txt,20,31,5,0.004289,True
grid_000240.txt,24,38,6,0.020778,True
grid_000242.txt,15,22,3,0.00124,True
grid_000244.txt,12,17,3,0.000962,True
grid_000246.txt,20,31,5,0.005338,True
grid_000248.txt,30,49,8,0.340825,True
grid_000250.txt,16,24,4,0.001388,True
grid_000252.txt,24,38,6,0.020538,True
grid_000254.txt,20,31,5,0.003789,True
grid_000256.txt,20,31,5,0.004459,True
grid_000258.txt,12,17,3,0.000702,True
grid_000260.txt,15,22,3,0.001067,True
grid_000262.txt,30,49,8,0.294597,True
grid_000264.txt,18,27,4,0.001824,True
grid_000266.txt,12,17,3,0.000746,True
grid_000268.txt,24,38,6,0.021385,True
grid_000270.txt,20,31,5,0.00484,True
grid_000272.txt,20,31,5,0.005537,True
grid_000274.txt,25,40,6,0.026856,True
grid_000276.txt,9,12,2,0.000525,True
grid_000278.txt,20,31,5,0.004487,True
grid_000280.txt,12,17,3,0.000755,True
grid_000282.txt,12,17,3,0.000699,True
grid_000284.txt,20,31,5,0.003741,True
grid_000286.txt,25,40,6,0.026419,True
grid_000288.txt,9,12,2,0.0005,True
grid_000290.txt,12,17,3,0.000734,True
grid_000292.txt,20,31,5,0.004394,True
grid_000294.txt,15,22,3,0.001532,True
grid_000296.txt,24,38,6,0.020877,True
grid_000298.txt,20,31,5,0.003828,True
grid_000300.txt,25,40,6,0.025479,True
grid_000302.txt,16,24,4,0.001405,True
grid_000304.txt,9,12,2,0.000573,True
grid_000306.txt,20,31,5,0.004838,True
grid_000308.txt,15,22,3,0.00111,True
grid_000310.txt,9,12,2,0.000491,True
grid_000312.txt,12,17,3,0.000661,True
grid_000314.txt,25,40,6,0.025725,True
grid_000316.txt,9,12,2,0.000501,True
grid_000318.txt,18,27,4,0.001884,True
grid_000320.txt,24,38,6,0.02144,True
grid_000322.txt,12,17,3,0.000658,True
grid_000324.txt,20,31,5,0.004027,True
grid_000326.txt,16,24,4,0.001307,True
grid_000328.txt,15,22,3,0.001541,True
grid_000330.txt,15,22,3,0.001097,True
grid_000332.txt,18,27,4,0.001753,True
grid_000334.txt,18,27,4,0.001811,True
grid_000336.txt,12,17,3,0.000705,True
grid_000338.txt,12,17,3,0.000976,True
grid_000340.txt,12,17,3,0.000783,True
grid_000342.txt,30,49,8,0.294425,True
grid_000344.txt,24,38,6,0.041203,True
grid_000346.txt,20,31,5,0.004343,True
grid_000348.txt,12,17,3,0.000734,True
grid_000350.txt,15,22,3,0.001069,True
grid_000352.txt,25,40,6,0.025505,True
grid_000354.txt,16,24,4,0.001305,True
grid_000356.txt,20,31,5,0.0043,True
grid_000358.txt,12,17,3,0.000705,True
grid_000360.txt,24,38,6,0.020363,True
grid_000362.txt,15,22,3,0.001057,True
grid_000364.txt,12,17,3,0.000665,True
grid_000366.txt,15,22,3,0.001148,True
grid_000368.txt,18,27,4,0.002241,True
grid_000370.txt,30,49,8,0.300493,True
grid_000372.txt,18,27,4,0.001861,True
grid_000374.txt,12,17,3,0.000907,True
grid_000376.txt,15,22,3,0.001152,True
grid_000378.txt,18,27,4,0.001962,True
grid_000380.txt,16,24,4,0.001646,True
grid_000382.txt,15,22,3,0.001588,True
grid_000384.txt,15,22,3,0.001103,True
grid_000386.txt,12,17,3,0.000758,True
grid_000388.txt,12,17,3,0.000744,True
grid_000390.txt,12,17,3,0.000734,True
grid_000392.txt,18,27,4,0.001877,True
grid_000394.txt,20,31,5,0.004014,True
grid_000396.txt,20,31,5,0.00371,True
grid_000398.txt,18,27,4,0.00195,True
grid_000400.txt,18,27,4,0.002084,True
grid_000402.txt,15,22,3,0.001601,True
grid_000404.txt,20,31,5,0.003752,True
grid_000406.txt,30,49,8,0.300104,True
grid_000408.txt,30,49,8,0.29492,True
grid_000410.txt,16,24,4,0.001629,True
grid_000412.txt,12,17,3,0.000827,True
grid_000414.txt,20,31,5,0.004467,True
grid_000416.txt,30,49,8,0.300795,True
grid_000418.txt,16,24,4,0.001915,True
grid_000420.txt,16,24,4,0.001595,True
grid_000422.txt,18,27,4,0.001856,True
grid_000424.txt,12,17,3,0.000855,True
grid_000426.txt,24,38,6,0.022366,True
grid_000428.txt,20,31,5,0.004526,True
grid_000430.txt,16,24,4,0.001567,True
grid_000432.txt,20,31,5,0.004504,True
grid_000434.txt,15,22,3,0.001089,True
grid_000436.txt,16,24,4,0.00154,True
grid_000438.txt,16,24,4,0.001549,True
grid_000440.txt,25,40,6,0.026346,True
grid_000442.txt,9,12,2,0.000497,True
grid_000444.txt,20,31,5,0.004575,True
grid_000446.txt,30,49,8,0.295255,True
grid_000448.txt,24,38,6,0.020711,True
grid_000450.txt,15,22,3,0.001579,True
grid_000452.txt,20,31,5,0.004803,True
grid_000454.txt,20,31,5,0.003907,True
grid_000456.txt,9,12,2,0.000561,True
grid_000458.txt,12,17,3,0.000862,True
grid_000460.txt,12,17,3,0.000854,True
grid_000462.txt,25,40,6,0.029826,True
grid_000464.txt,18,27,4,0.001852,True
grid_000466.txt,12,17,3,0.000813,True
grid_000468.txt,15,22,3,0.00109,True
grid_000470.txt,18,27,4,0.00195,True
grid_000472.txt,15,22,3,0.001075,True
grid_000474.txt,12,17,3,0.000873,True
grid_000476.txt,20,31,5,0.003934,True
grid_000478.txt,15,22,3,0.001587,True
grid_000480.txt,20,31,5,0.005242,True
grid_000482.txt,12,17,3,0.000823,True
grid_000484.txt,12,17,3,0.000827,True
grid_000486.txt,16,24,4,0.001606,True
grid_000488.txt,18,27,4,0.001808,True
grid_000490.txt,20,31,5,0.004115,True
grid_000492.txt,15,22,3,0.001142,True
grid_000494.txt,18,27,4,0.001921,True
grid_000496.txt,12,17,3,0.000894,True
grid_000498.txt,20,31,5,0.004167,True
grid_000500.txt,24,38,6,0.022593,True
grid_000502.txt,20,31,5,0.004729,True
grid_000504.txt,24,38,6,0.021002,True
grid_000506.txt,18,27,4,0.001916,True
grid_000508.txt,18,27,4,0.00191,True
grid_000510.txt,20,31,5,0.005539,True
grid_000512.txt,9,12,2,0.00049,True
grid_000514.txt,15,22,3,0.001626,True
grid_000516.txt,15,22,3,0.001545,True
grid_000518.txt,15,22,3,0.001264,True
grid_000520.txt,30,49,8,0.300827,True
grid_000522.txt,25,40,6,0.025853,True
grid_000524.txt,25,40,6,0.026042,True
grid_000526.txt,18,27,4,0.001822,True
grid_000528.txt,20,31,5,0.004714,True
grid_000530.txt,16,24,4,0.001601,True
grid_000532.txt,15,22,3,0.001107,True
grid_000534.txt,9,12,2,0.000494,True
grid_000536.txt,25,40,6,0.025783,True
grid_000538.txt,24,38,6,0.02044,True
grid_000540.txt,20,31,5,0.004599,True
grid_000542.txt,18,27,4,0.001816,True
grid_000544.txt,15,22,3,0.001601,True
grid_000546.txt,18,27,4,0.001891,True
grid_000548.txt,9,12,2,0.000581,True
grid_000550.txt,25,40,6,0.026005,True
grid_000552.txt,15,22,3,0.00114,True
grid_000554.txt,12,17,3,0.000756,True
grid_000556.txt,12,17,3,0.000781,True
grid_000558.txt,12,17,3,0.000857,True
grid_000560.txt,12,17,3,0.000836,True
grid_000562.txt,12,17,3,0.000878,True
grid_000564.txt,16,24,4,0.001613,True
grid_000566.txt,25,40,6,0.025865,True
grid_000568.txt,20,31,5,0.004022,True
grid_000570.txt,30,49,8,0.293034,True
grid_000572.txt,15,22,3,0.001127,True
grid_000574.txt,12,17,3,0.000842,True
grid_000576.txt,9,12,2,0.0005,True
grid_000578.txt,9,12,2,0.000552,True
grid_000580.txt,15,22,3,0.001105,True
grid_000582.txt,9,12,2,0.000499,True
grid_000584.txt,30,49,8,0.294476,True
grid_000586.txt,15,22,3,0.001168,True
grid_000588.txt,24,38,6,0.020879,True
grid_000590.txt,24,38,6,0.0208,True
grid_000592.txt,15,22,3,0.001584,True
grid_000594.txt,20,31,5,0.004583,True
grid_000596.txt,20,31,5,0.004689,True
grid_000598.txt,20,31,5,0.004077,True
grid_000600.txt,15,22,3,0.001117,True
grid_000602.txt,30,49,8,0.292385,True
grid_000604.txt,20,31,5,0.00406,True
grid_000606.txt,15,22,3,0.001068,True
grid_000608.txt,9,12,2,0.000502,True
grid_000610.txt,24,38,6,0.02042,True
grid_000612.txt,9,12,2,0.000505,True
grid_000614.txt,25,40,6,0.02589,True
grid_000616.txt,24,38,6,0.020478,True
grid_000618.txt,9,12,2,0.000588,True
grid_000620.txt,30,49,8,0.292143,True
grid_000622.txt,16,24,4,0.00172,True
grid_000624.txt,9,12,2,0.000493,True
grid_000626.txt,16,24,4,0.001559,True
grid_000628.txt,15,22,3,0.001152,True
grid_000630.txt,18,27,4,0.001869,True
grid_000632.txt,20,31,5,0.004641,True
grid_000634.txt,15,22,3,0.001617,True
grid_000636.txt,12,17,3,0.000781,True
grid_000638.txt,9,12,2,0.000495,True
grid_000640.txt,12,17,3,0.000799,True
grid_000642.txt,9,12,2,0.000607,True
grid_000644.txt,20,31,5,0.004699,True
grid_000646.txt,15,22,3,0.001552,True
grid_000648.txt,12,17,3,0.00086,True
grid_000650.txt,12,17,3,0.000759,True
grid_000652.txt,25,40,6,0.026387,True
grid_000654.txt,12,17,3,0.000873,True
grid_000656.txt,18,27,4,0.002035,True
grid_000658.txt,30,49,8,0.291162,True
grid_000660.txt,15,22,3,0.00112,True
grid_000662.txt,20,31,5,0.004256,True
grid_000664.txt,24,38,6,0.020434,True
grid_000666.txt,20,31,5,0.004615,True
grid_000668.txt,24,38,6,0.020929,True
grid_000670.txt,20,31,5,0.004006,True
grid_000672.txt,15,22,3,0.001148,True
grid_000674.txt,20,31,5,0.004559,True
grid_000676.txt,12,17,3,0.000829,True
grid_000678.txt,18,27,4,0.00241,True
grid_000680.txt,25,40,6,0.025911,True
grid_000682.txt,24,38,6,0.021864,True
grid_000684.txt,25,40,6,0.026285,True
grid_000686.txt,18,27,4,0.001835,True
grid_000688.txt,15,22,3,0.001084,True
grid_000690.txt,15,22,3,0.002977,True
grid_000692.txt,12,17,3,0.000823,True
grid_000694.txt,30,49,8,0.29379,True
grid_000696.txt,12,17,3,0.000867,True
grid_000698.txt,24,38,6,0.021479,True
grid_000700.txt,16,24,4,0.001631,True
grid_000702.txt,12,17,3,0.000895,True
grid_000704.txt,12,17,3,0.000763,True
grid_000706.txt,20,31,5,0.003823,True
grid_000708.txt,20,31,5,0.003968,True
grid_000710.txt,12,17,3,0.000808,True
grid_000712.txt,20,31,5,0.003882,True
grid_000714.txt,24,38,6,0.020348,True
grid_000716.txt,9,12,2,0.000574,True
grid_000718.txt,12,17,3,0.000808,True
grid_000720.txt,15,22,3,0.00118,True
grid_000722.txt,12,17,3,0.000846,True
grid_000724.txt,18,27,4,0.001897,True
grid_000726.txt,25,40,6,0.028521,True
grid_000728.txt,20,31,5,0.004791,True
grid_000730.txt,24,38,6,0.020855,True
grid_000732.txt,15,22,3,0.001139,True
grid_000734.txt,30,49,8,0.291591,True
grid_000736.txt,20,31,5,0.003988,True
grid_000738.txt,9,12,2,0.000491,True
grid_000740.txt,30,49,8,0.295765,True
grid_000742.txt,24,38,6,0.020689,True
grid_000744.txt,16,24,4,0.001452,True
grid_000746.txt,24,38,6,0.020514,True
grid_000748.txt,18,27,4,0.001773,True
grid_000750.txt,18,27,4,0.001726,True
grid_000752.txt,16,24,4,0.001545,True
grid_000754.txt,12,17,3,0.000982,True
grid_000756.txt,20,31,5,0.003976,True
grid_000758.txt,24,38,6,0.021375,True
grid_000760.txt,12,17,3,0.000929,True
grid_000762.txt,12,17,3,0.000796,True
grid_000764.txt,25,40,6,0.026709,True
grid_000766.txt,25,40,6,0.026769,True
grid_000768.txt,12,17,3,0.000774,True
grid_000770.txt,12,17,3,0.000898,True
grid_000772.txt,18,27,4,0.001831,True
grid_000774.txt,30,49,8,0.290679,True
grid_000776.txt,15,22,3,0.001105,True
grid_000778.txt,12,17,3,0.000873,True
grid_000780.txt,15,22,3,0.001203,True
grid_000782.txt,15,22,3,0.001508,True
grid_000784.txt,12,17,3,0.000938,True
grid_000786.txt,30,49,8,0.292953,True
grid_000788.txt,25,40,6,0.02913,True
grid_000790.txt,24,38,6,0.0209,True
grid_000792.txt,12,17,3,0.00086,True
grid_000794.txt,25,40,6,0.02581,True
grid_000796.txt,30,49,8,0.292909,True
grid_000798.txt,20,31,5,0.004433,True
grid_000800.txt,20,31,5,0.0047,True
grid_000802.txt,16,24,4,0.001532,True
grid_000804.txt,12,17,3,0.000835,True
grid_000806.txt,9,12,2,0.000557,True
grid_000808.txt,12,17,3,0.000794,True
grid_000810.txt,12,17,3,0.000778,True
grid_000812.txt,20,31,5,0.003935,True
grid_000814.txt,18,27,4,0.001796,True
grid_000816.txt,18,27,4,0.001816,True
grid_000818.txt,9,12,2,0.000553,True
grid_000820.txt,30,49,8,0.32252,True
