file,n,m,FVS_size,runtime,validity
grid_000000.txt,25,40,6,0.006077,True
grid_000002.txt,20,31,5,0.002694,True
grid_000004.txt,15,22,3,0.001235,True
grid_000006.txt,20,31,5,0.002931,True
grid_000008.txt,20,31,5,0.002939,True
grid_000010.txt,18,27,4,0.002382,True
grid_000012.txt,15,22,3,0.001245,True
grid_000014.txt,16,24,4,0.001526,True
grid_000016.txt,16,24,4,0.001613,True
grid_000018.txt,15,22,3,0.0013,True
grid_000020.txt,12,17,3,0.00074,True
grid_000022.txt,15,22,3,0.001602,True
grid_000024.txt,15,22,3,0.001264,True
grid_000026.txt,20,31,5,0.003124,True
grid_000028.txt,12,17,3,0.000787,True
grid_000030.txt,18,27,4,0.001861,True
grid_000032.txt,12,17,3,0.00074,True
grid_000034.txt,18,27,4,0.001867,True
grid_000036.txt,20,31,5,0.002695,True
grid_000038.txt,25,40,6,0.005373,True
grid_000040.txt,30,49,8,0.012759,True
grid_000042.txt,16,24,4,0.001582,True
grid_000044.txt,15,22,3,0.001254,True
grid_000046.txt,20,31,5,0.002565,True
grid_000048.txt,12,17,3,0.000914,True
grid_000050.txt,24,38,6,0.004481,True
grid_000052.txt,25,40,6,0.005402,True
grid_000054.txt,18,27,4,0.001739,True
grid_000056.txt,30,49,8,0.01154,True
grid_000058.txt,16,24,4,0.001533,True
grid_000060.txt,15,22,3,0.001355,True
grid_000062.txt,24,38,6,0.004308,True
grid_000064.txt,30,49,8,0.01178,True
grid_000066.txt,15,22,3,0.0014,True
grid_000068.txt,18,27,4,0.001701,True
grid_000070.txt,30,49,8,0.011987,True
grid_000072.txt,15,22,3,0.001234,True
grid_000074.txt,12,17,3,0.000758,True
grid_000076.txt,20,31,5,0.002863,True
grid_000078.txt,12,17,3,0.002985,True
grid_000080.txt,24,38,6,0.00502,True
grid_000082.txt,16,24,4,0.002054,True
grid_000084.txt,20,31,5,0.005588,True
grid_000086.txt,12,17,3,0.001487,True
grid_000088.txt,9,12,2,0.000678,True
grid_000090.txt,30,49,8,0.021453,True
grid_000092.txt,25,40,6,0.011183,True
grid_000094.txt,12,17,3,0.001308,True
grid_000096.txt,15,22,3,0.002168,True
grid_000098.txt,12,17,3,0.001465,True
grid_000100.txt,12,17,3,0.0017,True
grid_000102.txt,30,49,8,0.021532,True
grid_000104.txt,20,31,5,0.004921,True
grid_000106.txt,24,38,6,0.008427,True
grid_000108.txt,20,31,5,0.003341,True
grid_000110.txt,15,22,3,0.001334,True
grid_000112.txt,15,22,3,0.002365,True
grid_000114.txt,20,31,5,0.004538,True
grid_000116.txt,15,22,3,0.002297,True
grid_000118.txt,24,38,6,0.00816,True
grid_000120.txt,18,27,4,0.002829,True
grid_000122.txt,18,27,4,0.003033,True
grid_000124.txt,30,49,8,0.017206,True
grid_000126.txt,24,38,6,0.004873,True
grid_000128.txt,9,12,2,0.000401,True
grid_000130.txt,30,49,8,0.012597,True
grid_000132.txt,25,40,6,0.005933,True
grid_000134.txt,25,40,6,0.005726,True
grid_000136.txt,15,22,3,0.001631,True
grid_000138.txt,24,38,6,0.005134,True
grid_000140.txt,15,22,3,0.001398,True
grid_000142.txt,20,31,5,0.003036,True
grid_000144.txt,12,17,3,0.000802,True
grid_000146.txt,18,27,4,0.001767,True
grid_000148.txt,24,38,6,0.005005,True
grid_000150.txt,30,49,8,0.012107,True
grid_000152.txt,9,12,2,0.000397,True
grid_000154.txt,12,17,3,0.001079,True
grid_000156.txt,12,17,3,0.000828,True
grid_000158.txt,18,27,4,0.002285,True
grid_000160.txt,15,22,3,0.001537,True
grid_000162.txt,24,38,6,0.004997,True
grid_000164.txt,15,22,3,0.001265,True
grid_000166.txt,25,40,6,0.005632,True
grid_000168.txt,20,31,5,0.004145,True
grid_000170.txt,12,17,3,0.000974,True
grid_000172.txt,24,38,6,0.004449,True
grid_000174.txt,30,49,8,0.012811,True
grid_000176.txt,9,12,2,0.000441,True
grid_000178.txt,9,12,2,0.000402,True
grid_000180.txt,18,27,4,0.001772,True
grid_000182.txt,9,12,2,0.000378,True
grid_000184.txt,20,31,5,0.002716,True
grid_000186.txt,12,17,3,0.000791,True
grid_000188.txt,30,49,8,0.01282,True
grid_000190.txt,9,12,2,0.000388,True
grid_000192.txt,16,24,4,0.001575,True
grid_000194.txt,12,17,3,0.000819,True
grid_000196.txt,16,24,4,0.001564,True
grid_000198.txt,18,27,4,0.001789,True
grid_000200.txt,25,40,6,0.005985,True
grid_000202.txt,25,40,6,0.005946,True
grid_000204.txt,18,27,4,0.001793,True
grid_000206.txt,20,31,5,0.002745,True
grid_000208.txt,30,49,8,0.013142,True
grid_000210.txt,25,40,6,0.006646,True
grid_000212.txt,15,22,3,0.001555,True
grid_000214.txt,24,38,6,0.004992,True
grid_000216.txt,18,27,4,0.001861,True
grid_000218.txt,30,49,8,0.012247,True
grid_000220.txt,12,17,3,0.000854,True
grid_000222.txt,25,40,6,0.005548,True
grid_000224.txt,9,12,2,0.00043,True
grid_000226.txt,24,38,6,0.00513,True
grid_000228.txt,12,17,3,0.001234,True
grid_000230.txt,18,27,4,0.002009,True
grid_000232.txt,15,22,3,0.001431,True
grid_000234.txt,24,38,6,0.004341,True
grid_000236.txt,15,22,3,0.001782,True
grid_000238.txt,20,31,5,0.002716,True
grid_000240.txt,24,38,6,0.005184,True
grid_000242.txt,15,22,3,0.001504,True
grid_000244.txt,12,17,3,0.000794,True
grid_000246.txt,20,31,5,0.002747,True
grid_000248.txt,30,49,8,0.013339,True
grid_000250.txt,16,24,4,0.001707,True
grid_000252.txt,24,38,6,0.00523,True
grid_000254.txt,20,31,5,0.00328,True
grid_000256.txt,20,31,5,0.002727,True
grid_000258.txt,12,17,3,0.000802,True
grid_000260.txt,15,22,3,0.001499,True
grid_000262.txt,30,49,8,0.01167,True
grid_000264.txt,18,27,4,0.00179,True
grid_000266.txt,12,17,3,0.000819,True
grid_000268.txt,24,38,6,0.004878,True
grid_000270.txt,20,31,5,0.002627,True
grid_000272.txt,20,31,5,0.002623,True
grid_000274.txt,25,40,6,0.006195,True
grid_000276.txt,9,12,2,0.000434,True
grid_000278.txt,20,31,5,0.002729,True
grid_000280.txt,12,17,3,0.000911,True
grid_000282.txt,12,17,3,0.000806,True
grid_000284.txt,20,31,5,0.002728,True
grid_000286.txt,25,40,6,0.005773,True
grid_000288.txt,9,12,2,0.000389,True
grid_000290.txt,12,17,3,0.000794,True
grid_000292.txt,20,31,5,0.002956,True
grid_000294.txt,15,22,3,0.001434,True
grid_000296.txt,24,38,6,0.004469,True
grid_000298.txt,20,31,5,0.002759,True
grid_000300.txt,25,40,6,0.00551,True
grid_000302.txt,16,24,4,0.001799,True
grid_000304.txt,9,12,2,0.000375,True
grid_000306.txt,20,31,5,0.00265,True
grid_000308.txt,15,22,3,0.001478,True
grid_000310.txt,9,12,2,0.000368,True
grid_000312.txt,12,17,3,0.00093,True
grid_000314.txt,25,40,6,0.005421,True
grid_000316.txt,9,12,2,0.000376,True
grid_000318.txt,18,27,4,0.001762,True
grid_000320.txt,24,38,6,0.004674,True
grid_000322.txt,12,17,3,0.000815,True
grid_000324.txt,20,31,5,0.002699,True
grid_000326.txt,16,24,4,0.001574,True
grid_000328.txt,15,22,3,0.00123,True
grid_000330.txt,15,22,3,0.001616,True
grid_000332.txt,18,27,4,0.002105,True
grid_000334.txt,18,27,4,0.001801,True
grid_000336.txt,12,17,3,0.000789,True
grid_000338.txt,12,17,3,0.000805,True
grid_000340.txt,12,17,3,0.000879,True
grid_000342.txt,30,49,8,0.013372,True
grid_000344.txt,24,38,6,0.004649,True
grid_000346.txt,20,31,5,0.002993,True
grid_000348.txt,12,17,3,0.000815,True
grid_000350.txt,15,22,3,0.001491,True
grid_000352.txt,25,40,6,0.005811,True
grid_000354.txt,16,24,4,0.00171,True
grid_000356.txt,20,31,5,0.003034,True
grid_000358.txt,12,17,3,0.00081,True
grid_000360.txt,24,38,6,0.005042,True
grid_000362.txt,15,22,3,0.001681,True
