file,n,m,FVS_size,runtime,validity
grid_000000.txt,25,40,6,0.005296,True
grid_000002.txt,20,31,5,0.002224,True
grid_000004.txt,15,22,3,0.001019,True
grid_000006.txt,20,31,5,0.002076,True
grid_000008.txt,20,31,5,0.002066,True
grid_000010.txt,18,27,4,0.001407,True
grid_000012.txt,15,22,3,0.001078,True
grid_000014.txt,16,24,4,0.001306,True
grid_000016.txt,16,24,4,0.001314,True
grid_000018.txt,15,22,3,0.000988,True
grid_000020.txt,12,17,3,0.000696,True
grid_000022.txt,15,22,3,0.001035,True
grid_000024.txt,15,22,3,0.001004,True
grid_000026.txt,20,31,5,0.002072,True
grid_000028.txt,12,17,3,0.00069,True
grid_000030.txt,18,27,4,0.001367,True
grid_000032.txt,12,17,3,0.00069,True
grid_000034.txt,18,27,4,0.001377,True
grid_000036.txt,20,31,5,0.002075,True
grid_000038.txt,25,40,6,0.005028,True
grid_000040.txt,30,49,8,0.008233,True
grid_000042.txt,16,24,4,0.001342,True
grid_000044.txt,15,22,3,0.000998,True
grid_000046.txt,20,31,5,0.002025,True
grid_000048.txt,12,17,3,0.000702,True
grid_000050.txt,24,38,6,0.005328,True
grid_000052.txt,25,40,6,0.004814,True
grid_000054.txt,18,27,4,0.00138,True
grid_000056.txt,30,49,8,0.008023,True
grid_000058.txt,16,24,4,0.00141,True
grid_000060.txt,15,22,3,0.00099,True
grid_000062.txt,24,38,6,0.005348,True
grid_000064.txt,30,49,8,0.008795,True
grid_000066.txt,15,22,3,0.001064,True
grid_000068.txt,18,27,4,0.001371,True
grid_000070.txt,30,49,8,0.008028,True
grid_000072.txt,15,22,3,0.001012,True
grid_000074.txt,12,17,3,0.000708,True
grid_000076.txt,20,31,5,0.002323,True
grid_000078.txt,12,17,3,0.000706,True
grid_000080.txt,24,38,6,0.005048,True
grid_000082.txt,16,24,4,0.001322,True
grid_000084.txt,20,31,5,0.002282,True
grid_000086.txt,12,17,3,0.000804,True
grid_000088.txt,9,12,2,0.000416,True
grid_000090.txt,30,49,8,0.008536,True
grid_000092.txt,25,40,6,0.004997,True
grid_000094.txt,12,17,3,0.00071,True
grid_000096.txt,15,22,3,0.000996,True
grid_000098.txt,12,17,3,0.000705,True
grid_000100.txt,12,17,3,0.000687,True
grid_000102.txt,30,49,8,0.008229,True
grid_000104.txt,20,31,5,0.002438,True
grid_000106.txt,24,38,6,0.005097,True
grid_000108.txt,20,31,5,0.002271,True
grid_000110.txt,15,22,3,0.000998,True
grid_000112.txt,15,22,3,0.000982,True
grid_000114.txt,20,31,5,0.002013,True
grid_000116.txt,15,22,3,0.001043,True
grid_000118.txt,24,38,6,0.005069,True
grid_000120.txt,18,27,4,0.00138,True
grid_000122.txt,18,27,4,0.001405,True
grid_000124.txt,30,49,8,0.008133,True
grid_000126.txt,24,38,6,0.005072,True
grid_000128.txt,9,12,2,0.000415,True
grid_000130.txt,30,49,8,0.008497,True
grid_000132.txt,25,40,6,0.005939,True
grid_000134.txt,25,40,6,0.004851,True
grid_000136.txt,15,22,3,0.001047,True
grid_000138.txt,24,38,6,0.006033,True
grid_000140.txt,15,22,3,0.001003,True
grid_000142.txt,20,31,5,0.002336,True
grid_000144.txt,12,17,3,0.000699,True
grid_000146.txt,18,27,4,0.001395,True
grid_000148.txt,24,38,6,0.00507,True
grid_000150.txt,30,49,8,0.008671,True
grid_000152.txt,9,12,2,0.000434,True
grid_000154.txt,12,17,3,0.000692,True
grid_000156.txt,12,17,3,0.000676,True
grid_000158.txt,18,27,4,0.00145,True
grid_000160.txt,15,22,3,0.001057,True
grid_000162.txt,24,38,6,0.005091,True
grid_000164.txt,15,22,3,0.001004,True
grid_000166.txt,25,40,6,0.004839,True
grid_000168.txt,20,31,5,0.002058,True
grid_000170.txt,12,17,3,0.000721,True
grid_000172.txt,24,38,6,0.005097,True
grid_000174.txt,30,49,8,0.008179,True
grid_000176.txt,9,12,2,0.000442,True
grid_000178.txt,9,12,2,0.000429,True
grid_000180.txt,18,27,4,0.001389,True
grid_000182.txt,9,12,2,0.000415,True
grid_000184.txt,20,31,5,0.00225,True
grid_000186.txt,12,17,3,0.000734,True
grid_000188.txt,30,49,8,0.008212,True
grid_000190.txt,9,12,2,0.000429,True
grid_000192.txt,16,24,4,0.001603,True
grid_000194.txt,12,17,3,0.000695,True
grid_000196.txt,16,24,4,0.001331,True
grid_000198.txt,18,27,4,0.001384,True
grid_000200.txt,25,40,6,0.004763,True
grid_000202.txt,25,40,6,0.004749,True
grid_000204.txt,18,27,4,0.001396,True
grid_000206.txt,20,31,5,0.002248,True
grid_000208.txt,30,49,8,0.00807,True
grid_000210.txt,25,40,6,0.004819,True
grid_000212.txt,15,22,3,0.001033,True
grid_000214.txt,24,38,6,0.005476,True
grid_000216.txt,18,27,4,0.001421,True
grid_000218.txt,30,49,8,0.008125,True
grid_000220.txt,12,17,3,0.000713,True
grid_000222.txt,25,40,6,0.004895,True
grid_000224.txt,9,12,2,0.000425,True
grid_000226.txt,24,38,6,0.00514,True
grid_000228.txt,12,17,3,0.000987,True
grid_000230.txt,18,27,4,0.001467,True
grid_000232.txt,15,22,3,0.001045,True
grid_000234.txt,24,38,6,0.005273,True
grid_000236.txt,15,22,3,0.001054,True
grid_000238.txt,20,31,5,0.002032,True
grid_000240.txt,24,38,6,0.005009,True
grid_000242.txt,15,22,3,0.001043,True
grid_000244.txt,12,17,3,0.000705,True
grid_000246.txt,20,31,5,0.00227,True
grid_000248.txt,30,49,8,0.008178,True
grid_000250.txt,16,24,4,0.001577,True
grid_000252.txt,24,38,6,0.005279,True
grid_000254.txt,20,31,5,0.002305,True
grid_000256.txt,20,31,5,0.002102,True
grid_000258.txt,12,17,3,0.000703,True
grid_000260.txt,15,22,3,0.001059,True
grid_000262.txt,30,49,8,0.008164,True
grid_000264.txt,18,27,4,0.00138,True
grid_000266.txt,12,17,3,0.000744,True
grid_000268.txt,24,38,6,0.005022,True
grid_000270.txt,20,31,5,0.002036,True
grid_000272.txt,20,31,5,0.002028,True
grid_000274.txt,25,40,6,0.004773,True
grid_000276.txt,9,12,2,0.000426,True
grid_000278.txt,20,31,5,0.002074,True
grid_000280.txt,12,17,3,0.000694,True
grid_000282.txt,12,17,3,0.000678,True
grid_000284.txt,20,31,5,0.002287,True
grid_000286.txt,25,40,6,0.004879,True
grid_000288.txt,9,12,2,0.000468,True
grid_000290.txt,12,17,3,0.000744,True
grid_000292.txt,20,31,5,0.00205,True
grid_000294.txt,15,22,3,0.00101,True
grid_000296.txt,24,38,6,0.005044,True
grid_000298.txt,20,31,5,0.002307,True
grid_000300.txt,25,40,6,0.004802,True
grid_000302.txt,16,24,4,0.001341,True
grid_000304.txt,9,12,2,0.000452,True
grid_000306.txt,20,31,5,0.002064,True
grid_000308.txt,15,22,3,0.001103,True
grid_000310.txt,9,12,2,0.000443,True
grid_000312.txt,12,17,3,0.000738,True
grid_000314.txt,25,40,6,0.004914,True
grid_000316.txt,9,12,2,0.000423,True
grid_000318.txt,18,27,4,0.00145,True
grid_000320.txt,24,38,6,0.00509,True
grid_000322.txt,12,17,3,0.000752,True
grid_000324.txt,20,31,5,0.002278,True
grid_000326.txt,16,24,4,0.001332,True
grid_000328.txt,15,22,3,0.000985,True
grid_000330.txt,15,22,3,0.001035,True
grid_000332.txt,18,27,4,0.00141,True
grid_000334.txt,18,27,4,0.001371,True
grid_000336.txt,12,17,3,0.000709,True
grid_000338.txt,12,17,3,0.000756,True
grid_000340.txt,12,17,3,0.000689,True
grid_000342.txt,30,49,8,0.010603,True
grid_000344.txt,24,38,6,0.00509,True
grid_000346.txt,20,31,5,0.002292,True
grid_000348.txt,12,17,3,0.000683,True
grid_000350.txt,15,22,3,0.001042,True
grid_000352.txt,25,40,6,0.005227,True
grid_000354.txt,16,24,4,0.001537,True
grid_000356.txt,20,31,5,0.002053,True
grid_000358.txt,12,17,3,0.000708,True
grid_000360.txt,24,38,6,0.005184,True
grid_000362.txt,15,22,3,0.001102,True
grid_000364.txt,12,17,3,0.000733,True
grid_000366.txt,15,22,3,0.001043,True
grid_000368.txt,18,27,4,0.001404,True
grid_000370.txt,30,49,8,0.008178,True
grid_000372.txt,18,27,4,0.001494,True
grid_000374.txt,12,17,3,0.000702,True
grid_000376.txt,15,22,3,0.001077,True
grid_000378.txt,18,27,4,0.001426,True
grid_000380.txt,16,24,4,0.00138,True
grid_000382.txt,15,22,3,0.001007,True
grid_000384.txt,15,22,3,0.001071,True
grid_000386.txt,12,17,3,0.000703,True
grid_000388.txt,12,17,3,0.000695,True
grid_000390.txt,12,17,3,0.000684,True
grid_000392.txt,18,27,4,0.001425,True
grid_000394.txt,20,31,5,0.002293,True
grid_000396.txt,20,31,5,0.002236,True
grid_000398.txt,18,27,4,0.001389,True
grid_000400.txt,18,27,4,0.002346,True
grid_000402.txt,15,22,3,0.001112,True
grid_000404.txt,20,31,5,0.002344,True
grid_000406.txt,30,49,8,0.008499,True
grid_000408.txt,30,49,8,0.008219,True
grid_000410.txt,16,24,4,0.001395,True
grid_000412.txt,12,17,3,0.000705,True
grid_000414.txt,20,31,5,0.00213,True
grid_000416.txt,30,49,8,0.009313,True
grid_000418.txt,16,24,4,0.001375,True
grid_000420.txt,16,24,4,0.001336,True
grid_000422.txt,18,27,4,0.00143,True
grid_000424.txt,12,17,3,0.000973,True
grid_000426.txt,24,38,6,0.005918,True
grid_000428.txt,20,31,5,0.002743,True
grid_000430.txt,16,24,4,0.001442,True
grid_000432.txt,20,31,5,0.002018,True
grid_000434.txt,15,22,3,0.001035,True
grid_000436.txt,16,24,4,0.001363,True
grid_000438.txt,16,24,4,0.001312,True
grid_000440.txt,25,40,6,0.004874,True
grid_000442.txt,9,12,2,0.000439,True
grid_000444.txt,20,31,5,0.002464,True
grid_000446.txt,30,49,8,0.00951,True
grid_000448.txt,24,38,6,0.006391,True
grid_000450.txt,15,22,3,0.001066,True
grid_000452.txt,20,31,5,0.002045,True
grid_000454.txt,20,31,5,0.002291,True
