file,n,m,FVS_size,runtime,validity
ba_000000.txt,15,36,4,0.015798,True
ba_000001.txt,34,64,6,9.942433,True
ba_000002.txt,18,32,2,0.000844,True
ba_000003.txt,32,87,TIMEOUT,10.000056,TIMEOUT
ba_000004.txt,24,63,TIMEOUT,10.000039,TIMEOUT
ba_000005.txt,23,60,5,0.609963,True
ba_000006.txt,23,42,4,0.107118,True
ba_000007.txt,33,90,TIMEOUT,10.000054,TIMEOUT
ba_000008.txt,24,63,6,3.935046,True
ba_000009.txt,25,66,6,3.91454,True
er_000000.txt,13,13,2,0.000425,True
er_000001.txt,27,48,6,2.640995,True
er_000002.txt,27,127,TIMEOUT,10.000035,TIMEOUT
er_000003.txt,27,101,TIMEOUT,10.000004,TIMEOUT
er_000004.txt,11,20,3,0.001742,True
er_000005.txt,17,26,3,0.018589,True
er_000006.txt,23,48,7,3.366649,True
er_000007.txt,25,56,7,3.682787,True
er_000008.txt,10,18,3,0.002239,True
er_000009.txt,10,15,2,0.000577,True
grid_000000.txt,20,31,5,0.318756,True
grid_000002.txt,20,31,5,0.255406,True
grid_000004.txt,15,22,3,0.007919,True
grid_000006.txt,12,17,3,0.001277,True
grid_000008.txt,20,31,5,0.172729,True
real_000000.txt,23,24,2,0.003403,True
real_000001.txt,27,29,2,0.002831,True
real_000002.txt,25,27,1,0.000185,True
real_000003.txt,25,27,2,0.002347,True
real_000004.txt,14,14,1,0.00011,True
real_000005.txt,17,18,1,0.000315,True
real_000006.txt,27,29,2,0.003809,True
real_000007.txt,12,12,1,6.9e-05,True
real_000008.txt,12,12,1,0.000111,True
real_000009.txt,22,23,1,0.000153,True
tree_000001.txt,34,33,0,8.8e-05,True
tree_000003.txt,20,19,0,5.6e-05,True
tree_000005.txt,26,25,0,9e-05,True
tree_000007.txt,20,19,0,4.7e-05,True
tree_000009.txt,32,31,0,6.7e-05,True
ws_000000.txt,30,60,TIMEOUT,10.00003,TIMEOUT
ws_000001.txt,32,64,TIMEOUT,10.000025,TIMEOUT
ws_000002.txt,21,42,8,3.834093,True
ws_000003.txt,27,54,TIMEOUT,10.000217,TIMEOUT
ws_000004.txt,35,70,TIMEOUT,10.000025,TIMEOUT
ws_000005.txt,20,40,7,1.991319,True
ws_000006.txt,16,32,6,0.168362,True
ws_000007.txt,30,60,TIMEOUT,10.000002,TIMEOUT
ws_000008.txt,26,52,TIMEOUT,10.000023,TIMEOUT
ws_000009.txt,19,38,7,1.489317,True
