file,n,m,brute_force_result,IC_result,BST_result,IC_match?,BST_match?,brute_validity,brute_runtime
ba_000000.txt,15,36,4,4,N/A,True,N/A,True,0.015798
ba_000001.txt,34,64,6,6,N/A,True,N/A,True,9.942433
ba_000002.txt,18,32,2,2,N/A,True,N/A,True,0.000844
ba_000003.txt,32,87,TIMEOUT,9,N/A,N/A,N/A,TIMEOUT,10.000056
ba_000004.txt,24,63,TIMEOUT,8,N/A,N/A,N/A,TIMEOUT,10.000039
ba_000005.txt,23,60,5,5,N/A,True,N/A,True,0.609963
ba_000006.txt,23,42,4,4,N/A,True,N/A,True,0.107118
ba_000007.txt,33,90,TIMEOUT,8,N/A,N/A,N/A,TIMEOUT,10.000054
ba_000008.txt,24,63,6,6,N/A,True,N/A,True,3.935046
ba_000009.txt,25,66,6,6,N/A,True,N/A,True,3.91454
er_000000.txt,13,13,2,2,N/A,True,N/A,True,0.000425
er_000001.txt,27,48,6,6,N/A,True,N/A,True,2.640995
er_000002.txt,27,127,TIMEOUT,15,N/A,N/A,N/A,TIMEOUT,10.000035
er_000003.txt,27,101,TIMEOUT,12,N/A,N/A,N/A,TIMEOUT,10.000004
er_000004.txt,11,20,3,3,N/A,True,N/A,True,0.001742
er_000005.txt,17,26,3,3,N/A,True,N/A,True,0.018589
er_000006.txt,23,48,7,7,N/A,True,N/A,True,3.366649
er_000007.txt,25,56,7,7,N/A,True,N/A,True,3.682787
er_000008.txt,10,18,3,3,N/A,True,N/A,True,0.002239
er_000009.txt,10,15,2,2,N/A,True,N/A,True,0.000577
grid_000000.txt,20,31,5,5,N/A,True,N/A,True,0.318756
grid_000002.txt,20,31,5,5,N/A,True,N/A,True,0.255406
grid_000004.txt,15,22,3,3,N/A,True,N/A,True,0.007919
grid_000006.txt,12,17,3,3,N/A,True,N/A,True,0.001277
grid_000008.txt,20,31,5,5,N/A,True,N/A,True,0.172729
real_000000.txt,23,24,2,2,N/A,True,N/A,True,0.003403
real_000001.txt,27,29,2,2,N/A,True,N/A,True,0.002831
real_000002.txt,25,27,1,1,N/A,True,N/A,True,0.000185
real_000003.txt,25,27,2,2,N/A,True,N/A,True,0.002347
real_000004.txt,14,14,1,1,N/A,True,N/A,True,0.00011
real_000005.txt,17,18,1,1,N/A,True,N/A,True,0.000315
real_000006.txt,27,29,2,2,N/A,True,N/A,True,0.003809
real_000007.txt,12,12,1,1,N/A,True,N/A,True,6.9e-05
real_000008.txt,12,12,1,1,N/A,True,N/A,True,0.000111
real_000009.txt,22,23,1,1,N/A,True,N/A,True,0.000153
tree_000001.txt,34,33,0,0,N/A,True,N/A,True,8.8e-05
tree_000003.txt,20,19,0,0,N/A,True,N/A,True,5.6e-05
tree_000005.txt,26,25,0,0,N/A,True,N/A,True,9e-05
tree_000007.txt,20,19,0,0,N/A,True,N/A,True,4.7e-05
tree_000009.txt,32,31,0,0,N/A,True,N/A,True,6.7e-05
ws_000000.txt,30,60,TIMEOUT,10,N/A,N/A,N/A,TIMEOUT,10.00003
ws_000001.txt,32,64,TIMEOUT,11,N/A,N/A,N/A,TIMEOUT,10.000025
ws_000002.txt,21,42,8,8,N/A,True,N/A,True,3.834093
ws_000003.txt,27,54,TIMEOUT,9,N/A,N/A,N/A,TIMEOUT,10.000217
