file,n,m,IC_size,IC_ms,IC_valid
grid_000000.txt,20,31,5,6.79,True
grid_000002.txt,20,31,5,9.7,True
grid_000004.txt,15,22,3,1.69,True
grid_000006.txt,12,17,3,1.01,True
grid_000008.txt,20,31,5,7.45,True
tree_000001.txt,34,33,0,1.62,True
tree_000003.txt,20,19,0,0.86,True
tree_000005.txt,26,25,0,1.14,True
tree_000007.txt,20,19,0,1.01,True
tree_000009.txt,32,31,0,1.25,True
er_000000.txt,13,13,2,0.59,True
er_000001.txt,27,48,6,92.92,True
er_000002.txt,27,127,15,43041.33,True
er_000003.txt,27,101,12,4020.32,True
er_000004.txt,11,20,3,0.97,True
er_000005.txt,17,26,3,1.57,True
er_000006.txt,23,48,7,94.49,True
er_000007.txt,25,56,7,214.67,True
er_000008.txt,10,18,3,1.6,True
er_000009.txt,10,15,2,0.59,True
real_000000.txt,23,24,2,1.13,True
real_000001.txt,27,29,2,1.4,True
real_000002.txt,25,27,1,1.33,True
real_000003.txt,25,27,2,1.29,True
real_000004.txt,14,14,1,0.45,True
real_000005.txt,17,18,1,0.95,True
real_000006.txt,27,29,2,1.12,True
real_000007.txt,12,12,1,0.45,True
real_000008.txt,12,12,1,0.41,True
real_000009.txt,22,23,1,2.05,True
ba_000000.txt,15,36,4,2.52,True
ba_000001.txt,34,64,6,63.14,True
ba_000002.txt,18,32,2,1.53,True
ba_000003.txt,32,87,9,503.99,True
ba_000004.txt,24,63,8,506.16,True
ba_000005.txt,23,60,5,33.17,True
ba_000006.txt,23,42,4,8.17,True
ba_000007.txt,33,90,8,664.26,True
ba_000008.txt,24,63,6,56.32,True
ba_000009.txt,25,66,6,108.37,True
ws_000000.txt,30,60,10,2373.11,True
ws_000001.txt,32,64,11,7382.98,True
ws_000002.txt,21,42,8,126.37,True
ws_000003.txt,27,54,9,1441.1,True
ws_000004.txt,35,70,11,68582.36,True
ws_000005.txt,20,40,7,151.96,True
ws_000006.txt,16,32,6,15.6,True
ws_000007.txt,30,60,10,2232.95,True
ws_000008.txt,26,52,10,4481.94,True
ws_000009.txt,19,38,7,72.28,True
grid_000000.txt,1323,2570,5,6.79,True
grid_000002.txt,2162,4231,5,9.7,True
grid_000004.txt,950,1837,3,1.69,True
grid_000006.txt,2350,4603,3,1.01,True
grid_000008.txt,616,1182,5,7.45,True
tree_000001.txt,3271,3270,0,1.62,True
tree_000003.txt,797,796,0,0.86,True
tree_000005.txt,465,464,0,1.14,True
tree_000007.txt,4120,4119,0,1.01,True
tree_000009.txt,623,622,0,1.25,True
er_000000.txt,354,8489,2,0.59,True
er_000001.txt,992,57554,6,92.92,True
er_000002.txt,852,43862,15,43041.33,True
er_000003.txt,884,70415,12,4020.32,True
er_000004.txt,369,10022,3,0.97,True
er_000005.txt,461,7436,3,1.57,True
er_000006.txt,741,23018,7,94.49,True
er_000007.txt,836,62344,7,214.67,True
er_000008.txt,793,26472,3,1.6,True
er_000009.txt,746,21242,2,0.59,True
real_000000.txt,599,1194,2,1.13,True
real_000001.txt,4210,12621,2,1.4,True
real_000002.txt,4202,25176,1,1.32,True
real_000003.txt,1486,7405,2,1.29,True
real_000004.txt,2502,9992,1,0.45,True
real_000005.txt,3721,14868,1,0.95,True
real_000006.txt,4939,29598,2,1.12,True
real_000007.txt,2243,8956,1,0.45,True
real_000008.txt,2973,14840,1,0.41,True
real_000009.txt,1976,11820,1,2.05,True
ba_000000.txt,1085,4324,4,2.52,True
ba_000001.txt,284,843,6,63.14,True
ba_000002.txt,1839,5508,2,1.53,True
ba_000003.txt,704,2800,9,503.99,True
ba_000004.txt,1962,5877,8,506.16,True
ba_000005.txt,1325,6600,5,33.17,True
ba_000006.txt,605,1806,4,8.17,True
ba_000007.txt,1848,5535,8,664.26,True
ba_000008.txt,1048,3135,6,56.32,True
ba_000009.txt,1274,6345,6,108.37,True
ws_000000.txt,763,2289,10,2373.11,True
ws_000001.txt,522,1566,11,7382.98,True
ws_000002.txt,820,2460,8,126.37,True
ws_000003.txt,569,1707,9,1441.1,True
ws_000004.txt,832,2496,11,68582.36,True
ws_000005.txt,306,918,7,151.96,True
ws_000006.txt,397,1191,6,15.6,True
ws_000007.txt,242,726,10,2232.95,True
ws_000008.txt,516,1548,10,4481.94,True
ws_000009.txt,966,2898,7,72.28,True
