instance,optimal_fvs,undirected_BST_exact_fvs,undirected_BST_exact_score,undirected_IC_exact_fvs,undirected_IC_exact_score,undirected_KMA_exact_fvs,undirected_KMA_exact_score,undirected_MA_exact_fvs,undirected_MA_exact_score,undirected_brute_force_fvs,undirected_brute_force_score,undirected_fvs_check_fvs,undirected_fvs_check_score
ba_000000.txt,3.0,3.0,100.0,3.0,100.0,3.0,100.0,3.0,100.0,3.0,100.0,N/A,N/A
er_000000.txt,10.0,10.0,100.0,10.0,100.0,11.0,90.9091,11.0,90.9091,N/A,N/A,N/A,N/A
grid_000000.txt,6.0,6.0,100.0,6.0,100.0,6.0,100.0,6.0,100.0,6.0,100.0,N/A,N/A
real_000000.txt,7.0,7.0,100.0,7.0,100.0,7.0,100.0,7.0,100.0,7.0,100.0,N/A,N/A
ws_000000.txt,6.0,6.0,100.0,6.0,100.0,6.0,100.0,6.0,100.0,6.0,100.0,N/A,N/A
ba_000001.txt,3.0,3.0,100.0,3.0,100.0,3.0,100.0,3.0,100.0,3.0,100.0,N/A,N/A
er_000001.txt,9.0,9.0,100.0,9.0,100.0,9.0,100.0,9.0,100.0,9.0,100.0,N/A,N/A
real_000001.txt,10.0,10.0,100.0,10.0,100.0,10.0,100.0,10.0,100.0,N/A,N/A,N/A,N/A
tree_000001.txt,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,N/A,N/A
ws_000001.txt,10.0,10.0,100.0,10.0,100.0,10.0,100.0,10.0,100.0,N/A,N/A,N/A,N/A
ba_000002.txt,4.0,4.0,100.0,4.0,100.0,4.0,100.0,4.0,100.0,4.0,100.0,N/A,N/A
er_000002.txt,7.0,7.0,100.0,7.0,100.0,7.0,100.0,7.0,100.0,7.0,100.0,N/A,N/A
grid_000002.txt,5.0,5.0,100.0,5.0,100.0,5.0,100.0,5.0,100.0,5.0,100.0,N/A,N/A
real_000002.txt,6.0,6.0,100.0,6.0,100.0,6.0,100.0,6.0,100.0,6.0,100.0,N/A,N/A
ws_000002.txt,7.0,7.0,100.0,7.0,100.0,7.0,100.0,7.0,100.0,7.0,100.0,N/A,N/A
ba_000003.txt,5.0,5.0,100.0,5.0,100.0,5.0,100.0,5.0,100.0,5.0,100.0,N/A,N/A
er_000003.txt,18.0,N/A,N/A,N/A,N/A,18.0,100.0,18.0,100.0,N/A,N/A,N/A,N/A
real_000003.txt,3.0,3.0,100.0,3.0,100.0,3.0,100.0,3.0,100.0,3.0,100.0,N/A,N/A
tree_000003.txt,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,N/A,N/A
ws_000003.txt,11.0,N/A,N/A,11.0,100.0,11.0,100.0,11.0,100.0,N/A,N/A,N/A,N/A
ba_000004.txt,5.0,5.0,100.0,5.0,100.0,5.0,100.0,5.0,100.0,5.0,100.0,N/A,N/A
er_000004.txt,12.0,N/A,N/A,12.0,100.0,12.0,100.0,12.0,100.0,N/A,N/A,N/A,N/A
grid_000004.txt,3.0,3.0,100.0,3.0,100.0,3.0,100.0,3.0,100.0,3.0,100.0,N/A,N/A
real_000004.txt,7.0,7.0,100.0,7.0,100.0,7.0,100.0,7.0,100.0,N/A,N/A,N/A,N/A
ws_000004.txt,10.0,10.0,100.0,10.0,100.0,10.0,100.0,10.0,100.0,N/A,N/A,N/A,N/A
ba_000005.txt,4.0,4.0,100.0,4.0,100.0,4.0,100.0,4.0,100.0,4.0,100.0,N/A,N/A
er_000005.txt,8.0,8.0,100.0,8.0,100.0,8.0,100.0,8.0,100.0,8.0,100.0,N/A,N/A
real_000005.txt,5.0,5.0,100.0,5.0,100.0,5.0,100.0,5.0,100.0,5.0,100.0,N/A,N/A
tree_000005.txt,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,N/A,N/A
ws_000005.txt,10.0,10.0,100.0,10.0,100.0,10.0,100.0,10.0,100.0,N/A,N/A,N/A,N/A
ba_000006.txt,4.0,4.0,100.0,4.0,100.0,4.0,100.0,4.0,100.0,4.0,100.0,N/A,N/A
er_000006.txt,16.0,N/A,N/A,16.0,100.0,16.0,100.0,16.0,100.0,N/A,N/A,N/A,N/A
grid_000006.txt,5.0,5.0,100.0,5.0,100.0,5.0,100.0,5.0,100.0,5.0,100.0,N/A,N/A
real_000006.txt,2.0,2.0,100.0,2.0,100.0,2.0,100.0,2.0,100.0,2.0,100.0,N/A,N/A
ws_000006.txt,11.0,N/A,N/A,11.0,100.0,11.0,100.0,11.0,100.0,N/A,N/A,N/A,N/A
ba_000007.txt,8.0,8.0,100.0,8.0,100.0,8.0,100.0,8.0,100.0,N/A,N/A,N/A,N/A
er_000007.txt,6.0,6.0,100.0,6.0,100.0,6.0,100.0,6.0,100.0,6.0,100.0,N/A,N/A
real_000007.txt,7.0,7.0,100.0,7.0,100.0,7.0,100.0,7.0,100.0,7.0,100.0,N/A,N/A
tree_000007.txt,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,N/A,N/A
ws_000007.txt,6.0,6.0,100.0,6.0,100.0,6.0,100.0,6.0,100.0,6.0,100.0,N/A,N/A
ba_000008.txt,4.0,4.0,100.0,4.0,100.0,4.0,100.0,4.0,100.0,4.0,100.0,N/A,N/A
er_000008.txt,9.0,9.0,100.0,9.0,100.0,9.0,100.0,9.0,100.0,9.0,100.0,N/A,N/A
grid_000008.txt,5.0,5.0,100.0,5.0,100.0,5.0,100.0,5.0,100.0,5.0,100.0,N/A,N/A
real_000008.txt,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,N/A,N/A
ws_000008.txt,6.0,6.0,100.0,6.0,100.0,6.0,100.0,6.0,100.0,6.0,100.0,N/A,N/A
ba_000009.txt,6.0,6.0,100.0,6.0,100.0,6.0,100.0,6.0,100.0,6.0,100.0,N/A,N/A
er_000009.txt,13.0,N/A,N/A,13.0,100.0,14.0,92.8571,14.0,92.8571,N/A,N/A,N/A,N/A
real_000009.txt,6.0,6.0,100.0,6.0,100.0,6.0,100.0,6.0,100.0,6.0,100.0,N/A,N/A
tree_000009.txt,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,N/A,N/A
ws_000009.txt,8.0,8.0,100.0,8.0,100.0,10.0,80.0,10.0,80.0,N/A,N/A,N/A,N/A
ba_000010.txt,7.0,7.0,100.0,7.0,100.0,8.0,87.5,8.0,87.5,7.0,100.0,N/A,N/A
er_000010.txt,2.0,2.0,100.0,2.0,100.0,2.0,100.0,2.0,100.0,2.0,100.0,N/A,N/A
grid_000010.txt,4.0,4.0,100.0,4.0,100.0,4.0,100.0,4.0,100.0,4.0,100.0,N/A,N/A
real_000010.txt,6.0,6.0,100.0,6.0,100.0,6.0,100.0,6.0,100.0,6.0,100.0,N/A,N/A
ws_000010.txt,9.0,9.0,100.0,9.0,100.0,9.0,100.0,9.0,100.0,N/A,N/A,N/A,N/A
ba_000011.txt,5.0,5.0,100.0,5.0,100.0,5.0,100.0,5.0,100.0,5.0,100.0,N/A,N/A
er_000011.txt,2.0,2.0,100.0,2.0,100.0,2.0,100.0,2.0,100.0,2.0,100.0,N/A,N/A
real_000011.txt,2.0,2.0,100.0,2.0,100.0,2.0,100.0,2.0,100.0,2.0,100.0,N/A,N/A
tree_000011.txt,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,N/A,N/A
ws_000011.txt,7.0,7.0,100.0,7.0,100.0,7.0,100.0,7.0,100.0,7.0,100.0,N/A,N/A
ba_000012.txt,5.0,5.0,100.0,5.0,100.0,5.0,100.0,5.0,100.0,5.0,100.0,N/A,N/A
er_000012.txt,14.0,N/A,N/A,14.0,100.0,14.0,100.0,14.0,100.0,N/A,N/A,N/A,N/A
grid_000012.txt,3.0,3.0,100.0,3.0,100.0,3.0,100.0,3.0,100.0,3.0,100.0,N/A,N/A
real_000012.txt,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,N/A,N/A
ws_000012.txt,8.0,8.0,100.0,8.0,100.0,8.0,100.0,8.0,100.0,8.0,100.0,N/A,N/A
ba_000013.txt,5.0,5.0,100.0,5.0,100.0,5.0,100.0,5.0,100.0,5.0,100.0,N/A,N/A
er_000013.txt,6.0,6.0,100.0,6.0,100.0,6.0,100.0,6.0,100.0,6.0,100.0,N/A,N/A
real_000013.txt,4.0,4.0,100.0,4.0,100.0,4.0,100.0,4.0,100.0,4.0,100.0,N/A,N/A
