instance,optimal_fvs,undirected_KMA_heuristic_fvs,undirected_KMA_heuristic_score,undirected_MA_heuristic_fvs,undirected_MA_heuristic_score
ba_000000.txt,11.0,11.0,100.0,11.0,100.0
er_000000.txt,542.0,542.0,100.0,542.0,100.0
grid_000000.txt,401.0,401.0,100.0,401.0,100.0
real_000000.txt,10.0,10.0,100.0,10.0,100.0
ws_000000.txt,245.0,N/A,N/A,245.0,100.0
ba_000001.txt,114.0,114.0,100.0,114.0,100.0
er_000001.txt,904.0,904.0,100.0,904.0,100.0
real_000001.txt,30.0,30.0,100.0,30.0,100.0
tree_000001.txt,0.0,0.0,100.0,0.0,100.0
ws_000001.txt,232.0,N/A,N/A,232.0,100.0
ba_000002.txt,476.0,476.0,100.0,476.0,100.0
er_000002.txt,851.0,851.0,100.0,851.0,100.0
grid_000002.txt,100.0,100.0,100.0,100.0,100.0
real_000002.txt,1.0,1.0,100.0,1.0,100.0
ws_000002.txt,296.0,N/A,N/A,296.0,100.0
ba_000003.txt,54.0,54.0,100.0,54.0,100.0
er_000003.txt,499.0,499.0,100.0,499.0,100.0
real_000003.txt,10.0,10.0,100.0,10.0,100.0
tree_000003.txt,0.0,0.0,100.0,0.0,100.0
ws_000003.txt,260.0,N/A,N/A,260.0,100.0
ba_000004.txt,341.0,341.0,100.0,341.0,100.0
er_000004.txt,599.0,599.0,100.0,599.0,100.0
grid_000004.txt,200.0,200.0,100.0,200.0,100.0
real_000004.txt,180.0,182.0,98.9011,180.0,100.0
ws_000004.txt,241.0,N/A,N/A,241.0,100.0
ba_000005.txt,86.0,86.0,100.0,86.0,100.0
er_000005.txt,208.0,211.0,98.5782,208.0,100.0
real_000005.txt,15.0,15.0,100.0,15.0,100.0
tree_000005.txt,0.0,0.0,100.0,0.0,100.0
ws_000005.txt,214.0,N/A,N/A,214.0,100.0
ba_000006.txt,624.0,624.0,100.0,624.0,100.0
er_000006.txt,267.0,267.0,100.0,267.0,100.0
grid_000006.txt,202.0,202.0,100.0,203.0,99.5074
real_000006.txt,4.0,4.0,100.0,4.0,100.0
ws_000006.txt,334.0,N/A,N/A,334.0,100.0
ba_000007.txt,397.0,397.0,100.0,397.0,100.0
er_000007.txt,28.0,28.0,100.0,28.0,100.0
real_000007.txt,2.0,2.0,100.0,2.0,100.0
tree_000007.txt,0.0,0.0,100.0,0.0,100.0
ws_000007.txt,272.0,N/A,N/A,272.0,100.0
ba_000008.txt,83.0,83.0,100.0,83.0,100.0
er_000008.txt,448.0,448.0,100.0,448.0,100.0
grid_000008.txt,601.0,601.0,100.0,603.0,99.6683
real_000008.txt,1914.0,1914.0,100.0,1917.0,99.8435
ws_000008.txt,454.0,N/A,N/A,454.0,100.0
ba_000009.txt,112.0,112.0,100.0,112.0,100.0
er_000009.txt,247.0,249.0,99.1968,247.0,100.0
real_000009.txt,11.0,11.0,100.0,11.0,100.0
tree_000009.txt,0.0,0.0,100.0,0.0,100.0
ws_000009.txt,74.0,N/A,N/A,74.0,100.0
ba_000010.txt,301.0,301.0,100.0,301.0,100.0
er_000010.txt,849.0,849.0,100.0,849.0,100.0
grid_000010.txt,243.0,244.0,99.5902,243.0,100.0
real_000010.txt,621.0,621.0,100.0,626.0,99.2013
ws_000010.txt,368.0,N/A,N/A,368.0,100.0
ba_000011.txt,706.0,706.0,100.0,706.0,100.0
er_000011.txt,890.0,890.0,100.0,890.0,100.0
